,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"30 Jul 2020","6 Feb 2020","1 Aug 2019","7 Feb 2019","1 Aug 2018","31 Jan 2018","27 Jul 2017","10 Feb 2017","29 Jul 2016","12 Feb 2016","31 Jul 2015","13 Feb 2015","1 Aug 2014","9 May 2014","7 Feb 2014","7 Feb 2014","7 Nov 2013","1 Aug 2013","10 May 2013","6 Feb 2013","6 Feb 2013","31 Oct 2012","25 Jul 2012","10 May 2012","7 Feb 2012","6 Feb 2013","3 Nov 2011","27 Jul 2011","11 May 2011","8 Feb 2011","26 Oct 2010","28 Jul 2010","29 Apr 2010",
"Return on Capital Employed",-44.09,-41.78,-8.95,10.08,-25.32,-37.03,-25.75,-27.89,-4.31,-51.41,-0.92,-0.65,-0.12,5.14,-36.4,-8.66,3.69,-1.06,-4.22,-1.93,-7.02,-2.19,0.75,4.09,0.03,-2.71,-6.77,4.74,1.35,4.95,0.92,12.44,,
"Return on Shareholder Funds",-299.22,-104.44,-15.26,17.21,-47.7,-63.64,-40.06,-34.75,-5.17,-64.1,-1.06,-0.76,-0.14,6.12,-43.61,-10.37,4.34,-1.25,-4.97,-2.28,-8.31,-2.62,0.9,4.89,0.04,-3.25,-8.09,5.66,1.63,5.96,1.11,14.9,,
"Return on Total Assets",-23.12,-14.26,-4.44,3.17,0.36,-8.11,-9.54,-5.44,-2.66,-18.07,-0.94,-1.88,0.33,4.68,-4.99,-0.76,3.37,-0.64,-4.36,-2.25,-7.94,-2.49,0.73,4.7,0.39,-3.29,-7.31,5.72,1.79,5.81,4.14,13.66,,
"Operating Profit Margin",-12.72,-5.7,-1.02,6.13,5.35,-3.13,-5.13,-3.34,-1.58,-15.21,0.16,-0.86,0.89,4.31,-5,0.14,2.29,1.47,-2.68,-1.48,-8.47,-2.04,1.46,5.01,0.94,-3.93,-4.55,5.6,3.83,7.12,5.05,14.53,14.73,
"Net Profit Margin",-19.18,-11.31,-2.96,3.03,-7.01,-13.14,-11.61,-14.38,-2.65,-27.73,-0.68,-0.45,-0.08,3.52,-29.15,-6.62,2.82,-0.88,-3.54,-1.57,-6.71,-1.94,0.57,3.05,0.03,-2.54,-6.06,3.95,2.37,4.45,0.89,10.99,9.92,
"Debt:Equity (excl non-int debt)",7.8,1.76,0.92,0.75,1.31,1.18,0.64,0.39,0.3,0.62,0.3,0.21,0.24,0.29,0.27,0.25,0.18,0.22,0.21,0.19,0.19,0.21,0.2,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,,
"Interest Bearing Debt as % of Long-Term Finance",73.21,48.45,24.23,25.33,28.67,25.1,2.78,2.24,1.89,1.72,1.05,1.24,1.23,1.1,1.27,1.27,1.19,1.12,1.08,1.2,1.2,1.13,1.1,1,1.05,1.05,0.98,0.95,0.95,0.98,0.97,0.89,,
"Interest Cover",-1.13,-3.88,-0.49,1.58,-0.33,-2.65,-2.55,-5.88,-1,-8.7,0.08,-0.51,0.77,5.9,-57,-7.32,16.75,1.19,-3.85,-1.74,23.32,-1.49,1.34,5.33,2.17,-2.82,-3.6,-159.17,-6.93,4.93,2.46,16.2,12.02,
"Quick Ratio",0.5,0.41,0.46,0.45,0.63,0.38,0.43,0.26,0.49,0.28,0.32,0.24,0.42,0.5,0.45,0.45,0.57,0.65,0.66,0.6,0.6,0.73,0.82,0.77,0.55,0.55,0.8,1.17,1.26,1.19,1.44,1.54,,
"Current Ratio",1.06,1.11,1.2,1.26,1.21,1.05,1.12,1.08,1.27,0.94,1.36,1.44,1.75,1.8,1.78,1.78,2.09,1.82,2.18,2.51,2.51,2.58,2.67,2.53,2.43,2.43,2.8,2.86,3.04,2.76,3.06,2.76,,
"Dividend Cover",,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,2.96,,2.23,,2.95,,
"Dividend Cover (HEPS)",,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,3.02,,2.29,,3,,
"Debtors Collection Period",37.28,25.04,39.84,32.02,36.09,27.95,31.85,19.78,33.62,19.53,30.01,16.36,28.41,28.97,25.87,24.7,31.41,38.03,28.19,18.87,22.12,39.33,34.13,34.03,27.55,29.85,28.64,33.75,61.81,21.93,33.14,38.16,,
"Price : Earnings",-0.13,-0.4,9.27,3.81,-2.75,-1.68,-1.53,-4.71,-0.62,-0.34,-14.82,-46.33,-115.04,85.92,-66.61,-66.61,220.94,-17.2,-17.37,-27.91,-27.91,12.97,-34.25,91.36,-527.54,-489.86,17.31,133.88,29.44,23.1,20.03,14.16,85.7,
"Sales Per Share (Base Currency)",2197.33,3781.68,3976.74,4140.25,4182.49,3568.51,3502.67,3081.52,3318.11,7761.93,8196.87,8686.9,8936.65,9130.56,7715.81,8080.97,8765.66,7921.2,7742.73,8048.56,6864.37,7591.19,8869.35,9114.61,7839.69,7236.26,7597.17,8263.17,3888.5,7533.36,7227,8058.28,7507,
"Price/Sales Per Share",0.03,0.03,0.06,0.08,0.05,0.11,0.15,0.37,0.25,0.06,0.15,0.3,0.35,0.37,0.48,0.46,0.4,0.4,0.37,0.45,0.52,0.54,0.59,0.61,0.87,0.95,0.78,0.96,2.32,1.05,1.14,0.94,1.23,
"Price/Net Asset Value",0.44,0.38,0.31,0.47,0.35,0.53,0.52,0.93,0.55,0.13,0.23,0.51,0.6,0.64,0.72,0.72,0.62,0.57,0.52,0.65,0.65,0.73,0.92,0.98,1.21,1.21,1.04,1.37,1.59,1.41,1.42,1.28,,
"Price/Cash Flow",-23.38,10.49,-13.31,4.35,2.42,-2.79,-7.56,139.73,96.05,-1.63,-8.98,6.08,-246.76,-207.63,163.55,15.34,-182.99,24.98,77.09,9.04,44,-450.67,67.06,-291.57,-19.49,-1804.23,-104.85,-155.72,-83.76,23.77,-137.38,46.52,,
"NAV%Price",227.42,261.34,320.33,214.75,289.62,190.44,191.51,107.74,182.36,746.22,430.12,195.57,166.29,156.59,138.28,138.28,160.99,174.93,194.17,154,154,137.42,108.37,101.69,82.39,82.39,95.86,72.89,62.79,70.97,70.29,78.37,,
"Liquidity%",-0.55,0.68,-3.43,4.31,16.63,-6.56,-13.92,0.53,2.45,-6.33,-15.19,14.17,-1.7,-8.44,12.18,9.02,-11.78,16.81,24.93,20.52,60.67,-6.25,13.61,-12.68,-14.48,-2.5,-40.06,-8.72,-19.8,14.59,-42.12,25.25,,
"Cash Flow:Attributable Profit",0.04,-0.04,1.24,0.93,72.65,0.6,1.97,-0.05,-0.86,0.25,19.57,-11.04,13.47,-3.22,-4.78,-5.5,-9.76,-7.88,-5.98,-3.5,-9.01,3.95,12.29,-4.42,-176.5,1.33,7.5,-1.3,-9.36,0.99,-15.22,1.57,,
"Cash/Equity (%)",234.16,44.4,32.68,31.72,54.52,38.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",-4.97,-1.66,14.12,0.95,40.57,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEG Ratio",,,-0.02,-0.01,0.01,,,0.01,,,0.14,0.45,0.94,-0.7,0.54,0.54,-1.82,0.14,0.14,0.23,0.23,0.21,-0.56,1.48,-8.57,-7.96,0.21,1.65,0.36,0.29,-7.44,-5.26,-31.85,

