"Number of Months",12,12,12,3,6,3,12,3,6,3,3,12,3,6,3,3,12,3,6,3,3,12,3,3,6,3,12,3,3,6,3,12,3,6,3,3,12,3,6,3,3,12,
"Number of Employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,

Share statistics,"Feb 2020","Feb 2019","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016","Aug 2016","Aug 2016","May 2016","Feb 2016","Nov 2015","Aug 2015","Aug 2015","May 2015","Feb 2015","Nov 2014","Aug 2014","Aug 2014","May 2014","Feb 2014","Nov 2013","Aug 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)",
,"10 Dec 2020","10 Dec 2020","10 Dec 2020","15 Jan 2018","17 Oct 2017","18 Jul 2017","31 May 2017","17 Jan 2017","17 Oct 2016","17 Oct 2016","13 Jul 2016","31 May 2016","15 Jan 2016","16 Oct 2015","16 Oct 2015","15 Jul 2015","29 May 2015","14 Jan 2015","10 Oct 2014","10 Oct 2014","11 Jul 2014","23 May 2014","10 Jan 2014","11 Oct 2013","11 Oct 2013","12 Jul 2013","24 May 2013","11 Jan 2013","12 Oct 2012","12 Oct 2012","13 Jul 2012","25 May 2012","13 Jan 2012","14 Oct 2011","14 Oct 2011","12 Aug 2011","31 May 2011","17 Jan 2011","18 Oct 2010","18 Oct 2010","16 Jul 2010","31 May 2010",
"Earnings Per Share (ZARc)",-17.16,-16.65,-503.42,-5.43,-10.99,-40.74,-286.25,-105.6,-0.34,-11.9,12.08,-619.41,-178.35,-46.56,21.46,-91.38,-251.91,-88.48,-17.91,-25.63,7.3,-203.2,-6.94,-28.13,-47.71,-21.72,-188.7,-66.74,-33.86,-69.07,-32,-213.36,-0.54,0.01,0.04,-0.21,-103.72,-30.96,-21.81,-21.66,-0.22,-21.65,
"Diluted Earnings Per Share (ZARc)",-17.16,-16.65,-503.42,-5.43,-10.99,-40.74,-286.25,-105.6,-0.34,-11.9,12.08,-619.41,-178.35,-46.56,21.46,-91.38,-251.91,-88.48,-17.91,-25.63,7.3,-203.2,-6.94,-28.13,-47.71,-21.72,-188.7,-66.74,-33.86,-69.07,-32,-213.36,-0.54,0.01,0.04,-0.21,-103.72,-30.96,-21.81,-21.66,-0.22,-21.65,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-17.16,-16.65,-501.42,-5.43,-10.99,-38.68,-139.05,-105.71,-4.55,-12.01,7.78,-586.4,-178.46,-40.81,21.27,-85.47,-192.76,-87.59,-14.9,-26.02,10.76,-82.81,-6.94,-28.63,-49.08,-40.55,-120.38,-65.18,-39.9,-75.35,-39,-113.82,-0.54,0.01,0.04,-0.21,-91.62,-30.96,-8.73,-6.5,-0.22,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-17.16,-16.65,-501.42,-5.43,-10.99,-38.68,-139.05,-105.71,-4.55,-12.01,7.78,-586.4,-178.46,-40.81,21.27,-85.47,-192.76,-87.59,-14.9,-26.02,10.76,-82.81,-6.94,-28.63,-49.08,-40.55,-120.38,-65.18,-39.9,75.35,-39,-113.82,-0.54,,,,,,,,,,
"Net Asset Value Per Share (ZARc)",-404.49,-350.52,-289.67,-318.79,-306.98,-254.91,-210.61,-53.12,67.83,67.83,80.09,66.15,359.1,535.97,535.97,515.39,631.08,774.28,872.99,872.99,889.25,933.53,971.27,1047.17,1047.17,995.9,1036.65,1096.95,1165.54,1165.54,1185.49,1218.47,1469.12,1914.5,1914.5,1737.53,1706.39,1748.39,1826.56,1826.56,3707.85,2285.6,
"Embedded Value Per Share (Base Currency)",,,,,,,,,,,,,,,,,,,,,,,97127,,,,,,,,,,,,,,,,,,,,
"3 Year Beta",-0.08,-0.05,-1.07,-1.09,-1.17,-1.28,-1.12,-1.18,-1,-1,-2.21,-0.19,-0.64,0.18,0.18,0.24,0.56,0.55,-0.27,-0.27,-0.4,-0.32,-0.33,0.28,0.28,1.16,-0.16,-0.07,0.29,0.29,1.5,1.91,2.23,2.32,2.32,1.08,1.01,1.05,,,,,
"Cash Generated Per Share",-0.07,-0.13,-0.45,-0.03,,0.78,-8.12,-3.4,8.41,5.89,2.52,-7.69,0.81,-2.62,6.71,-9.33,0.84,-6.01,5.72,3.68,2.04,5.13,-3.57,7.42,1.06,-6.36,-10.27,-3,0.97,-2.47,-3.44,-0.39,-15.86,19.78,,5.47,27.68,7.73,-201.34,3.4,-3.04,-0.45,
"Earnings Per Share (Base Currency)",-1.56,-1.61,-52.88,-0.5,-1.1,-4.16,-26.31,-10,-0.03,-1.07,1.04,-51.79,-17.13,-7.24,2.19,-9.43,-25.89,-8.96,-1.84,-2.6,0.76,-21.3,-0.72,-2.81,-5.22,-2.41,-22.55,-7.68,-4.17,-8.58,-4.41,-28.74,-0.07,0.01,0.06,-0.03,-14.65,-4.5,-3,-3,-0.03,-45,
"Diluted Earnings Per Share (Base Currency)",-1.56,-1.61,-52.88,-0.5,-1.1,-4.16,-26.31,-10,-0.03,-1.07,1.04,-51.79,-17.13,-7.24,2.19,-9.43,-25.89,-8.96,-1.84,-2.6,0.76,-21.3,-0.72,-2.81,-5.22,-2.41,-22.55,-7.68,-4.17,-8.58,-4.41,-28.74,-0.07,0.01,0.06,-0.03,-12.94,-4.5,-3,-3,-0.03,-45,
"Headline Earnings Per Share (Cont) (Base Currency)",-1.56,-1.61,-52.67,-0.5,-1.1,-3.95,-12.78,-10.01,-0.4,-1.08,0.67,-49.03,-17.14,-4.19,2.17,-8.82,-19.81,-8.87,-1.53,-2.64,1.12,-8.68,-0.72,-2.86,-5.37,-4.5,-14.4,-7.5,-4.86,-9.36,-4.5,-15.34,-0.07,0.01,0.04,-0.03,-12.94,-4.5,-1.2,-0.9,-0.03,-45,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-1.56,-1.61,-52.67,-0.5,-1.1,-3.95,-12.78,-10.01,-0.4,-1.08,0.67,-49.03,-17.14,-4.19,2.17,-8.82,-19.81,-8.87,-1.53,-2.64,1.12,-8.68,-0.72,-2.86,-5.37,-4.5,-14.4,-7.5,-4.86,-9.36,-4.5,-15.34,-0.07,,,,,,,,,,
"Net Asset Value Per Share (Base Currency)",-34.69,-33.13,-31.52,-30.07,-29.57,-26.19,-21.36,-5.03,6.1,6.1,6.61,6.42,33.34,53.33,53.33,52.86,68.12,80.11,88.93,88.93,91.96,96.24,100.97,101.47,101.47,103.95,118.8,123.61,136.8,136.8,144.5,160.96,181.25,264.81,264.81,244.66,238.99,249.77,262.06,262.06,247.19,312.24,
"Price at Period End (Base Currency)",3,4,4,4,4,4,7,4,13,13,10,7,10,23,23,21,21,30,37,37,34,41,39,28,28,21,26,27,37,37,46,50,49,69,69,57,67,75,67,67,94,104,
"JSE Market Price High (ZARc)",40,40,73,40,73,73,200,150,200,200,120,250,225,250,250,220,455,361,455,455,398,450,450,350,350,325,425,317,380,425,425,700,525,700,700,480,780,780,750,750,750,1485,
"JSE Market Price Low (ZARc)",40,40,40,40,40,40,32,32,80,85,80,51,106,101,101,179,200,257,277,277,325,101,101,149,110,110,112,240,220,220,365,200,384,200,200,405,450,465,450,450,525,345,
"JSE Market Price at Period End (ZARc)",40,40,40,40,40,40,73,43,150,150,120,86,111,225,225,200,200,290,361,361,330,398,377,280,280,200,220,240,317,317,380,375,400,500,500,405,480,525,465,465,675,750,
"JSE Volume Traded (Actual)",,,95033,,95033,95033,305236,32222,134954,30602,104352,579552,14895,246215,21791,224424,479691,149933,216465,160712,55753,1416023,499518,245846,585682,339836,328664,19729,75827,212356,136529,1106939,714632,241508,110861,130647,419645,85554,164535,109408,55127,1011013,
"JSE Rand Value Traded (Actual)",,,54996,,54996,54996,285300,38609,144110,43417,100694,807598,26046,497452,49369,448083,1557042,483446,781215,596060,185154,3924512,1621383,639571,1146160,506588,1034262,52947,264502,784469,519967,4668036,2868115,1120995,542223,578772,2533369,504690,1073335,686331,387004,7117040,
"12 Month HEPS",-17.16,-16.65,-501.42,58.4,-248.75,-220.41,-139.05,-161.28,-550.14,-549.82,-432.02,-586.4,-149.26,-218.67,-242.06,-230.04,-192.76,-164.48,-48.63,-48.99,-51.34,-82.81,19.14,-129.37,-109.27,-130.83,-120.38,-252.73,-132.26,-132.26,-124.36,-113.82,0.73,-82.88,-82.82,-68.92,-91.62,-124.88,-8.93,-6.92,-16.45,-21.65,

Cash flow items,"Feb 2020","Feb 2019","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016","Aug 2016","Aug 2016","May 2016","Feb 2016","Nov 2015","Aug 2015","Aug 2015","May 2015","Feb 2015","Nov 2014","Aug 2014","Aug 2014","May 2014","Feb 2014","Nov 2013","Aug 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)",
,"10 Dec 2020","10 Dec 2020","10 Dec 2020","15 Jan 2018","17 Oct 2017","18 Jul 2017","31 May 2017","17 Jan 2017","17 Oct 2016","17 Oct 2016","13 Jul 2016","31 May 2016","15 Jan 2016","16 Oct 2015","16 Oct 2015","15 Jul 2015","29 May 2015","14 Jan 2015","10 Oct 2014","10 Oct 2014","11 Jul 2014","23 May 2014","10 Jan 2014","11 Oct 2013","11 Oct 2013","12 Jul 2013","24 May 2013","11 Jan 2013","12 Oct 2012","12 Oct 2012","13 Jul 2012","25 May 2012","13 Jan 2012","14 Oct 2011","14 Oct 2011","12 Aug 2011","31 May 2011","17 Jan 2011","18 Oct 2010","18 Oct 2010","16 Jul 2010","31 May 2010",
"Cash generated by operations",,,,165,,1065,-3529,-1644,6063,4004,2059,-3948,395,-1298,3722,-5020,657,-2704,2795,1673,1123,2670,-1703,3597,612,-2986,-4808,-1411,623,-1007,-1630,150,-7663,,,1913,10383,,,,-970,-7038,
"Cash generated from operations after WC",-41,-74,-249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",-41,-74,-249,-14,,430,-4464,-1871,4622,3237,1385,-4197,441,-1429,3663,-5092,451,-3271,3061,1968,1094,2559,-1772,3631,519,-3113,-4974,-1454,469,-1196,-1665,-186,-7605,7019,,1914,9562,2672,-66835,1129,-1049,-111,
"Net cash flow from investing activities",,,-2442,-49,,-3930,-5069,-112,-2025,-2120,60,2890,1485,1082,354,728,-3086,-460,-2120,-1415,-705,-6745,-625,-3603,-2866,739,-2152,-977,-1395,-2282,-888,-2404,6495,-5322,,-2215,-13090,-1807,-6081,-5411,-815,-75,
"Net cash flow from financing activities",,91,2205,49,,2021,11478,1542,-1802,-1566,-201,-601,-946,-3386,-5099,1713,5747,4175,-144,-63,-81,-305,-97,-84,-137,-53,-56,154,-84,-173,-89,9518,-2565,9718,,333,4692,-1810,5662,346,6601,-1300,
"Net increase(decrease) in cash & cash equivalents",-41,17,-486,-14,,-1479,1945,-441,795,-449,1244,-1908,980,-3733,-1082,-2651,3112,444,797,490,308,-4491,-2494,-56,-2484,-2428,-7181,-2277,-1010,-3651,-2641,6928,-3674,11415,,32,1164,-946,-485,-3936,4738,-1485,
"Cash & Cash Equivalent beginning of period",54,37,523,56,,523,-1332,-537,-1332,-88,-1322,576,-2381,576,-1299,576,-1760,-963,,,,,,,,,,,,,,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",,,,-9,,-2,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",13,54,37,33,,-958,523,-978,-537,-537,-88,-1332,-1401,-2381,-2381,-1299,576,-519,,,,,,,,,,,,,,,,,,,,,,,,,

Ratios,"Feb 2020","Feb 2019","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016","Aug 2016","Aug 2016","May 2016","Feb 2016","Nov 2015","Aug 2015","Aug 2015","May 2015","Feb 2015","Nov 2014","Aug 2014","Aug 2014","May 2014","Feb 2014","Nov 2013","Aug 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)",
,"10 Dec 2020","10 Dec 2020","10 Dec 2020","15 Jan 2018","17 Oct 2017","18 Jul 2017","31 May 2017","17 Jan 2017","17 Oct 2016","17 Oct 2016","13 Jul 2016","31 May 2016","15 Jan 2016","16 Oct 2015","16 Oct 2015","15 Jul 2015","29 May 2015","14 Jan 2015","10 Oct 2014","10 Oct 2014","11 Jul 2014","23 May 2014","10 Jan 2014","11 Oct 2013","11 Oct 2013","12 Jul 2013","24 May 2013","11 Jan 2013","12 Oct 2012","12 Oct 2012","13 Jul 2012","25 May 2012","13 Jan 2012","14 Oct 2011","14 Oct 2011","12 Aug 2011","31 May 2011","17 Jan 2011","18 Oct 2010","18 Oct 2010","16 Jul 2010","31 May 2010",
"Return on Capital Employed",4.49,4.86,167.78,6.63,7.42,-29.24,174.83,-75.1,-0.08,-5.53,5.38,-64.18,-72.59,-17.51,9.95,-49.62,-29.94,-31.55,-3.67,-9.58,2.16,-16.56,-2.28,-8.87,-8.02,-7.24,-18.85,-29.14,-11.36,-12.83,-13.44,-13.64,-14.3,-0.23,4.17,-5.01,-5.19,-3.19,-6.42,-9.35,-3.59,-9.24,
"Return on Shareholder Funds",4.49,4.86,167.78,6.63,7.42,63.59,123.19,795.66,-1.07,-70.13,62.76,-789.31,-212.33,-27.15,15.43,-73.53,-42.21,-45.47,-4.97,-12.96,2.91,-22.08,-3.16,-12.11,-10.95,-9.53,-24.88,-32.68,-14.99,-16.93,-17.74,-17.94,-16.73,-0.25,4.61,-5.61,-6.06,-3.52,-7,-10.2,-3.94,-11.12,
"Return on Total Assets",-4280,-1264.29,-7262.5,-1129.9,-855.32,-17.39,-42.84,-42.69,-0.7,-9.18,3.58,-39.01,-48.27,-5.14,20.71,-31.18,-25.02,-32.98,13.46,-9.29,4.5,-13.22,-0.89,-4.61,9.11,-5.13,-25.17,-12.48,-11.89,-13.72,-9.65,-6.88,-7.48,-2.01,0.09,-4.41,-2.43,-0.2,-3.29,-7.32,0.77,-2.17,
"Gross Profit Margin",,,,,,,-45.08,-141.75,,,15.17,-33.88,101.84,11.12,55.69,-49.27,-15.61,-26.07,,,16.43,-1.73,,12.58,5.58,-2.05,-22.52,,-23.45,-23.7,-23.96,-2.66,,,,5.91,11.72,,,,29.56,20.11,
"Operating Profit Margin",,,,,,,-83.25,-229.68,5.33,-5.93,9.72,-50.27,-111.77,-4.67,43.35,-67.99,-29.51,-31.73,17.04,-10.72,6.09,-24.6,-1.38,-7.89,19.08,-10.29,-76.67,-32.03,-37.61,-43.72,-32.73,-28.46,-25.8,-6.04,0.95,-13.6,-5.17,-0.22,-8.71,-18.09,3.9,-9.01,
"Net Profit Margin",,,,,,,-55.47,-227.2,-2.73,-5.56,4.71,-75,-135.19,-19.23,9.73,-55.7,-24.55,-25.59,-3.08,-8.24,2.68,-25.83,-3.02,-13.94,-13.51,-13.03,-40.22,-42.47,-27.24,-28.56,-29.94,-44.12,-42.83,1.96,13.73,-10.77,-11.68,-9.58,-14.11,-18.19,-8.6,-23.64,
"Debt:Equity (excl non-int debt)",-0.94,-0.94,-0.94,-0.95,-0.95,-3.26,-3.71,-12,11.84,11.84,10.83,12.04,2.23,1.4,1.4,1.53,0.48,0.53,0.42,0.42,0.4,0.44,0.44,0.4,0.4,0.37,0.37,0.16,0.32,0.32,0.37,0.33,0.18,0.11,0.11,0.16,0.19,0.13,0.12,0.12,0.12,0.21,
"Interest Bearing Debt as % of Long-Term Finance",,,,,,152.07,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,0.45,,,,,0.68,,,0.04,0.18,
"Interest Cover",-0.21,-0.14,-11.57,-0.53,-0.76,-2.06,-5.53,-6.76,0.94,0.2,1.78,-6.07,-12.2,-2.93,2.43,-23.71,-19.57,-27.83,-7.33,-27.9,15.9,-23.08,-4.32,-6.8,-15.15,-28.06,-16.54,-60.48,-107.46,-42.72,-18.82,-160.68,68.87,-15.18,2.46,-571,-6.55,-0.58,-19.84,52.28,2.66,29.64,
"Quick Ratio",,,,0.01,0.01,0.46,0.22,0.66,0.19,0.19,0.22,0.27,0.34,0.34,0.34,0.23,0.89,0.54,0.42,0.42,0.48,0.61,0.56,0.66,0.66,0.91,0.91,0.34,0.95,0.95,1.34,1.69,1.69,2.07,2.07,1.12,1.21,1,1.23,1.23,1.3,0.77,
"Current Ratio",,,,0.01,0.01,0.49,0.24,0.71,0.34,0.34,0.42,0.41,0.5,0.43,0.43,0.29,0.99,0.9,0.96,0.96,1.03,0.9,1.1,0.97,0.97,1.15,1.1,0.48,1.18,1.18,1.57,1.86,2.21,2.59,2.59,1.41,1.51,1.9,1.58,1.58,2.05,1.03,
"Debtors Collection Period",,,,,,,21.96,133.46,27.12,29.07,21.65,39.52,75.32,111.04,92.91,86.19,31.34,37.57,29.75,28.21,38.73,77.13,48.04,55.13,57.54,67.02,78.79,30.72,34.27,35,52.9,77.72,62.29,1.4,1.35,32.75,47.48,54.54,95.37,83.09,66.85,76.75,
"Stock Turn",,,,,,,24.58,18.04,15.97,17.92,12.84,22.19,15.48,13.43,13.12,20.56,31.62,14.38,5.19,6.14,4.93,8.51,5.38,7.64,7.97,12.96,13.6,9.97,12.72,12.45,13.91,16.6,4.06,6.49,5.82,12.17,10.68,2.45,8.64,11.72,2.81,7.99,
"Price : Earnings",-2.33,-2.4,-0.08,0.68,-0.16,-0.18,-0.52,-0.27,-0.27,-0.27,-0.28,-0.15,-0.74,-1.03,-0.93,-0.87,-1.04,-1.76,-7.42,-7.37,-6.43,-4.81,19.7,-2.16,-2.56,-1.53,-1.83,-0.95,-2.4,-2.4,-3.06,-3.29,547.95,-6.03,-6.04,-5.88,-5.24,-4.2,-52.07,-67.2,-41.01,-34.64,
"Sales Per Share (Base Currency)",,,,,,,47.43,17.6,82.47,76.94,88,69.05,50.68,75.32,90.01,67.74,105.46,138.59,119.65,126.17,113.12,82.48,95.61,80.66,77.36,74.05,56.06,72.36,61.18,60.06,58.94,65.15,69.05,99.81,103.75,97.23,125.52,128.72,119.56,131.86,106.23,167.18,
"Price/Sales Per Share",,,,,,,0.16,0.23,0.16,0.17,0.11,0.11,0.2,0.3,0.25,0.3,0.2,0.22,0.31,0.29,0.3,0.5,0.41,0.35,0.37,0.28,0.46,0.37,0.61,0.62,0.78,0.77,0.72,0.69,0.67,0.59,0.53,0.58,0.56,0.51,0.88,0.62,
"Price/Net Asset Value",-0.1,-0.11,-0.14,-0.13,-0.13,-0.16,-0.35,-0.82,2.19,2.19,1.51,1.14,0.31,0.42,0.42,0.39,0.31,0.38,0.41,0.41,0.37,0.43,0.39,0.28,0.28,0.2,0.22,0.22,0.27,0.27,0.32,0.31,0.27,0.26,0.26,0.23,0.28,0.3,0.26,0.26,0.38,0.33,
"Price/Cash Flow",-46.08,-27.77,-9.6,-595.08,,21.01,-0.91,-4.84,3.18,9.09,15.87,-0.95,51.03,-17.23,13.45,-8.8,25.5,-20,12.86,39.98,66.45,8.04,-43.85,15.23,53.31,-12.92,-2.53,-36.14,153.05,-30.05,-53.3,-128.21,-12.48,7,,41.68,2.42,38.81,-0.67,78.87,-123.32,-231.18,
"NAV%Price",-1011.22,-876.3,-724.18,-796.98,-767.45,-637.28,-288.51,-123.53,45.22,45.22,66.74,76.92,323.51,238.21,238.21,257.7,315.54,266.99,241.83,241.83,269.47,234.56,257.63,373.99,373.99,497.95,471.2,457.06,367.68,367.68,311.97,324.93,367.28,382.9,382.9,429.02,355.5,333.03,392.81,392.81,549.31,304.75,
"Liquidity%",-0.21,-0.4,-1.43,-0.34,,2.34,-6.43,-12.19,16.23,22.73,10.32,-7.63,3.34,-5.26,26.94,-36.77,1.27,-36.87,17.58,22.6,13.5,7.97,-22.89,49.14,3.51,-47.83,-16.39,-16.99,6.2,-7.91,-20.22,-0.55,-124.24,75.07,,40.29,42.33,54.33,-655.53,22.15,-21.23,-0.41,
"Cash Flow:Attributable Profit",0.05,0.08,0.04,0.2,,-0.67,0.23,1.2,77.68,-18.06,10.97,0.18,-0.24,2.53,3.65,3.96,-0.03,2.71,1.24,-5.46,10.8,-0.24,19.8,-10.37,0.36,10.29,0.27,1.55,-0.93,0.57,3.09,0.05,8.58,52.97,,-8.22,-2.04,-10.04,47.37,-2.16,5.76,-0.06,
"Cash/Equity (%)",-0.07,-0.3,-0.21,,-0.34,,-14.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",,,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEG Ratio",0.04,0.03,,-0.01,,,0.01,,,,,,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.16,0.14,0.11,-0.36,0.04,0.05,0.03,0.03,0.02,0.05,0.05,0.09,0.06,-9.5,0.1,0.1,0.1,0.08,-0.14,-1.69,-0.68,-1.33,-1.12,

