Cash flow items,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Feb 2014","Nov 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","May 2011",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (10m)","Qtrly (3m)","Interim (4m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"20 Nov 2020","21 Aug 2020","29 May 2020","9 Apr 2020","15 Nov 2019","29 Aug 2019","31 May 2019","25 Apr 2019","21 Nov 2018","10 Aug 2018","17 May 2018","22 Mar 2018","9 Nov 2017","23 Aug 2017","12 May 2017","28 Mar 2017","30 Nov 2016","26 Aug 2016","13 May 2016","30 Mar 2016","12 Nov 2015","14 Aug 2015","15 May 2015","27 Mar 2015","14 Nov 2014","14 Aug 2014","2 Jun 2014","15 Jan 2014","16 Oct 2013","25 Jul 2013","30 May 2013","18 Jan 2013","16 Oct 2012","17 Jul 2012","30 May 2012","17 Jan 2012","18 Oct 2011","15 Aug 2011",
"Cash generated by operations",,,9053,43630,,,5671,116807,,,35127,58010,,,9018,52078,18868,,-12589,-51484,,-8804,,,,,,,,,,,,,,,,,
"Working capital changes",,,,,,,,,,,,,,,,25728,,,,13568,,,,,,,,,,,,,,,,,,,
"Cash generated from operations after WC",-712,23648,,,31925,9585,,,32227,66477,,,25934,7151,,,,-13801,,,,,,,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",-2092,20345,7111,36248,28508,5249,2645,105876,21928,58516,28998,28270,13467,-2295,4306,32018,3724,-23777,-17742,-63882,,-14472,225,-24648,,-1033,-290,-929,5221,1314,444,-4080,3892,1114,19936,4438,14832,4463,
"Net cash flow from investing activities",-7385,-1321,-699,2547,6920,-4411,-1690,-27073,-6764,-17665,-6620,-42095,-11327,-23100,-7553,-26376,-16876,-11941,-6395,-55451,,-31538,-2008,-113781,,66,-4164,865,-3644,-876,-10906,-7727,-2091,-2323,-41060,-14370,-4959,-2035,
"Net cash flow from financing activities",-3000,,,-40508,-25508,,,-95000,-25000,-45000,-30000,21500,,21500,,-12254,10733,25000,25000,127578,,57522,6015,135966,,447,3396,846,-2484,-1276,4512,-1725,4235,-34,15709,584,-822,1967,
"Net increase(decrease) in cash & cash equivalents",-3477,5023,6412,-1714,9919,838,955,-16197,-9836,-4149,-7622,7675,2141,-3894,-3247,-6612,2419,-10718,863,8245,,11512,,,,,,,,,,,,,,,,4506,
"Cash & Cash Equivalent beginning of period",8542,3519,3518,5232,6071,5232,5232,21429,17280,21429,21429,13754,9860,13754,13754,20365,20365,20365,20365,12120,,12120,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",5064,8542,9930,3518,15990,6071,6187,5232,7444,17280,13807,21429,12000,9860,10507,13754,17946,9648,21228,20365,,23633,,,,,,,,,,,,,,,,,

Ratios,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Feb 2014","Nov 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","May 2011",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (10m)","Qtrly (3m)","Interim (4m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"20 Nov 2020","21 Aug 2020","29 May 2020","9 Apr 2020","15 Nov 2019","29 Aug 2019","31 May 2019","25 Apr 2019","21 Nov 2018","10 Aug 2018","17 May 2018","22 Mar 2018","9 Nov 2017","23 Aug 2017","12 May 2017","28 Mar 2017","30 Nov 2016","26 Aug 2016","13 May 2016","30 Mar 2016","12 Nov 2015","14 Aug 2015","15 May 2015","27 Mar 2015","14 Nov 2014","14 Aug 2014","2 Jun 2014","15 Jan 2014","16 Oct 2013","25 Jul 2013","30 May 2013","18 Jan 2013","16 Oct 2012","17 Jul 2012","30 May 2012","17 Jan 2012","18 Oct 2011","15 Aug 2011",
"Working Revenue Per Share",62.18,95.72,120.74,94.69,94.66,94.35,91.31,182.8,99.09,191.21,185.01,183.56,183.31,163.65,172.91,196.06,204.8,188.71,194.25,596.26,604.73,995.6,110.99,63.86,150.41,169.2,207.44,190.77,224.62,238.59,197.1,128.7,253.49,238.63,299.77,357.39,314.64,228.07,
"Price/Sales Per Share",1.29,0.84,0.62,0.89,0.89,0.89,0.93,0.46,0.86,0.44,0.43,0.46,0.35,0.37,0.35,0.61,0.59,0.64,0.85,0.28,0.29,0.18,0.19,0.14,0.16,0.18,0.17,0.19,0.14,0.15,0.38,0.36,0.41,0.66,0.71,0.5,0.92,,
"Price/Net Asset Value",-0.75,-0.74,-0.66,-0.96,-0.88,-0.93,-0.88,-0.87,-0.82,-0.96,-0.88,-1,-1.03,-1.06,-1.08,-1.79,-1.91,-1.94,-2.31,-0.79,-1.68,0.89,0.58,0.41,0.53,0.41,0.38,0.22,0.19,0.21,0.39,0.22,0.46,,0.88,0.75,1.14,,
"Price/Cash Flow",-644.52,33.13,177.76,9.76,49.63,134.4,539.68,3.33,32.32,12,45.45,12.09,77.3,-206.9,220.18,12.63,448.47,-31.96,-109.09,-2.73,,-16.71,232.22,-0.47,,-34.29,-43.69,-53.12,4.06,37.64,57.6,-15.28,18.82,196.25,3.72,56.38,13.66,,
"Return on Capital Employed",-5.4,43.02,99.69,-11.52,24.55,-15.4,-0.94,19.11,36.67,14.83,-565.32,-1701.36,-84.85,-3.89,10.23,-26.3,-56.63,-0.35,-12.37,-152.46,-293.22,-41.51,-23.16,-182.95,-44.55,-21.38,-50.3,-11.82,-25.06,-0.1,-10.75,-20.21,-18.17,-5.03,1.81,12.84,-4.3,-2.8,
"Return on Shareholder Funds",-4.82,38.48,89.88,-10.08,21.72,-13.4,-0.83,16.99,32.85,13.59,37.53,36.62,48.55,2.48,-7.85,20.54,47.74,0.64,23.58,259.75,993.41,-174.73,-62.09,311.7,-117.75,-38.9,-85.35,-17.09,-34.01,-0.13,-15.14,-28.02,-26.41,-7.07,2.54,16.68,-5.79,-4.34,
"Return on Total Assets",12.08,28.02,-234.86,18.17,27.95,36.37,1.52,-29.86,25.33,42.19,38.37,-34.02,9.49,-5.49,0.4,-7.41,-1.99,-18.38,-13.36,-97.88,-151.81,-17.08,-16.36,-117.46,-38.43,-20.18,-36.07,-1.45,-3.01,1.41,-13.84,-10.78,5.85,4.33,2.97,22.85,14.14,12.06,
"Operating Profit Margin",21.94,21.08,-76.56,18.54,24.82,31.38,10.88,-1.81,24.09,24.97,23.77,-9.51,15.28,2.43,7.8,5.11,6.43,-1.47,2.44,-72.43,-120.97,-9.7,-10.17,-72.43,-34,-18.3,-39.42,0.18,-0.88,1.58,-18.48,-21.19,9.42,8.71,3.34,21.78,17.88,21.34,
"Net Profit Margin",8.23,-43.19,-83.32,9.23,-21.72,12.72,0.86,-9.01,-34.14,-6.19,-18.3,-16.76,-16.44,-0.84,2.46,-6.89,-14.33,-0.2,-8.49,-89.04,-163.77,-35.57,-20.62,-89.04,-37.18,-17.31,-40.02,-14.66,-25.01,-0.1,-14.82,-45.9,-23.75,-7.64,2.19,11.31,-4.75,-5.13,
"Debt:Equity",-1.23,-1.24,-1.21,-1.28,-1.33,-1.39,-1.33,-1.31,-0.39,-0.49,-1.49,-1.58,-2.33,-2.48,-2.52,-2.51,-2.7,-3.01,-3.04,-2.82,-4.62,3.34,1.88,-2.82,1.57,0.7,0.55,0.31,0.23,0.25,0.27,0.24,0.31,0.24,0.24,0.13,0.14,0.35,
"Interest Cover",1.6,-3.92,-11.32,1.99,-1.4,2.27,1.09,-0.25,-3.89,0.17,-1.49,-1.34,-0.98,0.93,1.41,0.47,-0.79,1.03,0.49,-5.11,-7.9,-3.23,-1.91,-5.11,-4.23,-3.89,-12.91,-4.78,-3.68,4.27,-7.93,-9.43,-0.57,-1.25,,13.77,2.23,0.59,
"Current Ratio",0.12,0.12,0.12,0.18,0.17,0.17,0.14,0.16,0.22,0.23,0.48,0.52,0.45,0.39,0.44,0.41,0.45,0.84,1.02,0.87,0.78,0.75,0.75,0.87,0.87,0.75,0.8,0.94,0.86,0.99,1.04,0.87,2.35,2,1.97,1.08,1.34,1.48,
"NAV%Price",-134,-135.6,-150.61,-104.53,-113.92,-107.8,-113.35,-115.34,-122.39,-103.71,-114.08,-100.09,-97.17,-93.92,-92.28,-55.91,-52.28,-51.43,-43.27,-126.36,-59.65,112.22,172.75,246.68,180.74,245.78,264.25,457.94,532.05,469.04,30.17,451.62,214.08,161.77,114.18,134.43,85.26,,
"Price : Earnings",16,-4.71,-4.29,8.4,1.53,7.03,-2266.67,-1700,-2.5,-2.36,-2.56,-2.74,65,-4.62,-7.5,-10,0.59,-0.33,-0.41,-0.31,-1.41,-1,-3.27,-1.73,-0.46,-0.5,-0.46,-3,-0.82,-1.83,-2.63,-1.19,9.36,-4482.76,30.72,755.21,-20.53,,
"Profitability %",31.84,48.02,-215.8,36.48,43.93,53.47,19.13,-6.01,35.88,58.99,54.84,-19.49,20.78,3.14,10.3,6.69,8.75,-1.7,2.53,-81.86,-134.75,-8.31,-8.2,-98.23,-31.84,-15.82,-33.01,0.95,-0.62,3.01,-10.38,-7.03,6.46,5.28,2.48,20.18,12.59,11.41,
"Solvency %",28.75,28.12,27.68,35.67,36.11,38.22,35.27,36.24,39.25,48.17,47.06,51.61,68.47,69.61,70.7,69.46,71,72.95,72.84,72.08,84.49,121.12,136.57,72.08,142,162.54,164.68,214.56,208.93,220.32,221.91,249.75,260.85,278.12,278.12,249.72,237.15,190.66,
"Int Bearing Debt : Total Assets",2.79,2.89,2.91,2.07,2.15,2.04,2.24,2.11,0.44,0.44,0.48,0.52,0.35,0.37,0.31,0.32,0.35,0.06,0.05,0.05,0.22,0.18,0.21,0.05,0.13,,,,,,,,,,,,,0.14,
"EV/Ebitda (Pd)",,,-8.59,10.32,,18.06,78.46,-73.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liquidity%",-1.33,6.46,4.36,6.38,18.27,1.72,1.71,16.77,6.21,16.87,16.53,4.05,6.83,-0.63,2.35,4.41,2.02,-6.74,-9.39,-8.25,,-4.37,1.44,-42.79,,-6.55,-0.55,-7.45,19.75,10.62,0.81,-34.43,15.75,8.82,39.45,31.46,45.13,21.97,
"Cash Flow : Attributable Profit",-1.53,1.64,-0.27,0.98,7.24,0.25,12.72,-1.55,1.22,1.68,3.78,-0.23,4.21,0.31,-29.49,-0.7,-5.12,0.97,3.69,0.11,,0.69,-0.46,0.59,,0.81,0.01,-6.46,-4.29,-3.94,-0.04,10.82,2.68,4.48,7.9,2.77,4.77,5.53,
"PEG Ratio",0.01,,,,,,1.03,0.77,,,,,-0.01,,,,,,,,0.01,0.01,0.02,,,,,0.01,,0.01,0.01,-0.01,0.06,-30.06,0.21,,,,

