"Number of Months",12,3,6,3,12,3,3,6,3,12,3,6,3,3,12,3,6,3,3,12,3,3,3,6,3,3,12,3,3,6,3,12,3,3,3,6,3,12,3,3,6,3,3,3,12,3,6,3,3,12,3,3,6,3,3,3,12,3,3,6,

Share statistics,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Mar 2017","Dec 2016","Sep 2016","Sep 2016","Jun 2016","Mar 2016","Mar 2016","Dec 2015","Sep 2015","Sep 2015","Jun 2015","Mar 2015","Mar 2015","Dec 2014","Sep 2014","Sep 2014","Jun 2014","Mar 2014","Mar 2014","Dec 2013","Sep 2013","Sep 2013","Jun 2013","Mar 2013","Mar 2013","Dec 2012","Sep 2012","Sep 2012","Jun 2012","Mar 2012","Mar 2012","Dec 2011","Sep 2011","Sep 2011","Jun 2011","Mar 2011","Mar 2011","Dec 2010","Sep 2010","Sep 2010","Jun 2010","Mar 2010","Mar 2010",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)",
,"5 Nov 2020","30 Jul 2020","7 May 2020","5 Feb 2020","14 Nov 2019","1 Aug 2019","9 May 2019","9 May 2019","6 Feb 2019","15 Nov 2018","13 Aug 2018","14 May 2018","14 May 2018","7 Feb 2018","16 Nov 2017","3 Aug 2017","15 May 2017","15 May 2017","8 Feb 2017","10 Nov 2016","10 Nov 2016","4 Aug 2016","9 May 2016","9 May 2016","10 Feb 2016","12 Nov 2015","12 Nov 2015","7 Aug 2015","14 May 2015","14 May 2015","11 Feb 2015","10 Nov 2014","10 Nov 2014","31 Jul 2014","12 May 2014","12 May 2014","5 Feb 2014","7 Nov 2013","7 Nov 2013","2 Aug 2013","9 May 2013","9 May 2013","6 Feb 2013","8 Nov 2012","8 Nov 2012","3 Aug 2012","10 May 2012","10 May 2012","8 Feb 2012","10 Nov 2011","10 Nov 2011","4 Aug 2011","9 May 2011","9 May 2011","9 Feb 2011","8 Nov 2010","8 Nov 2010","2 Aug 2010","7 May 2010","7 May 2010",
"Earnings Per Share (ZARc)",-405.75,-233.61,76.3,58.88,559.51,14.39,182.32,396.7,214.69,783,113.67,392.27,227.24,160.16,854.21,143.56,453.89,211.62,236.64,891.15,297.46,90.6,300.63,496.29,201.35,207.04,379.93,9.18,128.92,174.61,51.3,273.08,139.69,34.25,65.07,100.46,30.42,-323.96,-289.71,-85.23,40.61,,17,173.39,143.76,-165.25,158.47,85.26,69.94,-334.7,-172,-88.81,-49.49,-48.93,49.5,117.62,69.58,94.02,-51.71,-119.76,
"Diluted Earnings Per Share (ZARc)",-405.75,-233.61,76.3,58.88,559.51,14.39,182.32,396.7,214.69,803.7,113.67,383.7,227.24,149.82,829.56,143.56,453.89,211.62,236.64,891.15,297.46,90.6,284.81,496.29,201.35,207.04,370.76,9.18,128.92,174.61,51.3,273.08,139.69,34.25,65.07,100.46,30.42,-323.96,-289.71,-85.23,40.61,,17,165.13,143.76,-165.25,158.47,85.26,73,-334.7,-172,-88.81,-49.49,-48.93,49.03,117.62,69.58,91.64,-51.71,-150.72,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-308.37,-215.64,91.56,58.88,602.55,28.78,196.35,410.87,214.69,770,113.67,383.7,215.28,160.16,866.85,143.56,453.89,211.62,236.64,863.21,297.46,93.43,300.63,462.26,171.82,207.04,379.93,9.18,128.92,174.61,56.06,331.75,150.44,90.67,65.07,90.41,30.42,-92.56,-99.9,-85.23,91.38,62.54,104.28,99.08,58.74,-162.46,142.63,77.51,62.17,-135.22,-57.2,-86.2,36.11,-13.98,49.5,117.62,47.84,95.48,-60.33,-138.75,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-308.37,-215.64,91.56,58.88,602.55,28.78,196.35,410.87,214.69,790.08,113.67,370.91,203.32,149.82,842.94,143.56,453.89,211.62,236.64,863.21,297.46,93.43,284.81,462.26,171.82,207.04,370.76,9.18,128.92,174.61,56.06,331.75,150.44,90.67,65.07,90.41,30.42,-92.56,-99.9,-85.23,91.38,62.54,104.28,99.08,58.74,162.46,142.63,77.51,64.92,-135.22,-57.2,-86.2,36.11,-13.98,49.03,117.62,47.84,93.07,-60.33,169.56,
"Final Dividend (ZARc)",,,,,,,,,,245.34,,,,,215.56,,,,,149.24,149.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dividend Per Share (ZARc)",,,,,,,,,,245.34,,,,,215.56,,,,,149.24,149.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distributions Per Share (ZARc)",,,,,,,,,,245.34,,,,,215.56,,,,,149.24,149.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Asset Value Per Share (ZARc)",5121.87,5620.24,5800.27,5317.37,5441.11,5278.25,5306.05,5303.34,5094.56,4465.57,4695.66,4323.61,4314.3,4182.22,4434.12,3972.78,3895.2,3893.51,3709.8,3560.8,3563.01,3356.49,3245.5,3247.13,2930.55,2684.63,2682.09,2595.97,2602.8,2600.39,2338.52,2236.75,2234.47,2350.09,2316.14,2320.09,2263.95,2213.36,2209.71,2539.16,2556.75,2558.46,2463.29,2434.71,2433.12,2442.32,2416.84,2416.84,2354.56,2300.21,2297.24,2436.44,2515.68,2511.96,2567.73,2561.72,2562.01,2538.52,2580.36,2427.23,
"3 Year Beta",1.33,1.37,1.58,1.27,1.08,0.97,0.92,0.92,0.88,0.92,0.73,0.73,0.73,0.72,0.75,0.95,0.69,0.69,0.58,0.78,0.78,0.66,0.37,0.37,0.63,0.54,0.54,0.55,0.46,0.46,0.3,0.25,0.25,0.65,0.67,0.67,0.7,0.54,0.54,0.65,0.79,0.79,0.86,0.82,0.82,0.97,1.22,1.22,1.52,1.7,1.7,1.36,1.41,1.41,1.52,1.54,1.54,1.49,1.56,1.56,
"Cash Generated Per Share",47.61,2.01,12.64,-0.92,87.14,21.74,-9.77,9.03,18.8,76.02,27.27,17.07,2.41,14.67,89.91,21.69,21.69,11.59,10.1,103.66,48.06,26.21,26.23,29.64,3.21,46.16,72.57,13.87,22.82,12.55,-10.28,83.37,54.75,6.7,35.4,22.01,-13.4,47.17,39.69,1.92,5.56,14.96,-9.4,48.2,78.92,26.31,20.74,28.42,-7.68,78,73.01,8.65,-3.66,26.17,-29.82,56.98,101.83,12.51,31.25,32.61,
"Earnings Per Share (Base Currency)",-25,-13,5,4,39,1,13,28,15,60,9,31,19,12,63,11,33,16,17,60,21,6,19,33,14,16,32,1,11,15,5,26,13,3,6,10,3,-35,-29,-9,3,,2,21,20,-20,20,11,9,-45,-24,-13,-7,-7,7,16,13,12,-6,-16,
"Diluted Earnings Per Share (Base Currency)",-25,-13,5,4,39,1,13,28,15,59,9,30,19,11,62,11,33,16,17,59,21,6,18,33,14,16,31,1,11,15,5,26,13,3,6,10,3,-35,-29,-9,3,,2,20,20,-20,20,11,9,-45,-24,-13,-7,-7,7,16,13,12,-6,-16,
"Headline Earnings Per Share (Cont) (Base Currency)",-19,-12,6,4,42,2,14,29,15,59,9,30,18,12,64,11,33,16,17,58,21,6,19,31,12,16,32,1,11,15,5,31,14,9,6,9,3,-10,-10,-9,8,6,12,12,9,-20,18,10,8,-16,-8,-13,5,-2,7,16,10,13,-7,-18,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-19,-12,6,4,42,2,14,29,15,58,9,29,17,11,63,11,33,16,17,57,21,6,18,30,12,16,31,1,11,15,5,31,14,9,6,9,3,-10,-10,-9,8,6,12,12,9,-20,18,10,8,-16,-8,-13,5,-2,7,16,10,12,-7,-18,
"Distributions Per Share (Base Currency)",,,,,,,,,,17,,,,,15,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Asset Value Per Share (Base Currency)",299,326,329,379,359,374.61,366,366,353,361,342,365,365,338,327,304,290,290,270,260,260,223,210,216,192,193,193,213,216,216,202,199,199,222,219.29,219,215,219,219,257,277,277,290,293,293,299,315,315,291.03,283.96,283.96,362.03,375.48,375.48,387.87,364.97,364.97,333.14,326.67,326.67,
"Price at Period End (Base Currency)",159,156,118,312,248,390,459,459,567,627,666,644,644,723,682,669,681,681,661,511,511,466,446,446,420,307,307,354,403,403,365,395,395,362,350,350,315,249,249,246,310,310,365,287,287,327,368,368,292,299,299,508,526,526,515,516,516,390,446,446,
"JSE Market Price High (ZARc)",4799,3553,4799,4799,9059,7175,8275,9059,9059,10579,9649,10394,9378,10394,10543,10543,9350,9350,9109,7942,7698,7616,7942,7942,6916,4566,5279,5174,5279,5279,4744,4755,4800,3969,3783,3783,3429,3300,2727,2949,3300,3300,3200,2713,2999,2999,2840,2840,2611,3962,3509,3725,3962,3920,3956,3685,3792,3275,3792,3792,
"JSE Market Price Low (ZARc)",1720,1842,1720,3422,3542,5295,6409,6409,7346,7180,7180,7359,7359,8694,6888,8542,6888,8053,6888,3982,6431,5874,5775,4140,4140,3610,3610,4203,3892,3753,3753,2525,3768,3255,3094,2506,2506,2204,2293,2204,2306,2750,2306,2221,2092,2550,2092,2330,2092,2107,2107,3621,3265,3320,3296,2877,2539,2633,2875,2539,
"JSE Market Price at Period End (ZARc)",2654,2711,2100,4367,3755,5489,6665,6665,8165,8875,9150,7620,7620,8950,9206,8709,9113,9113,8995,7226,7100,6847,6537,6537,6526,4250,4069,4315,4893,4893,4220,4337,4448,3827,3700,3700,3275,2549,2525,2440,2872,2872,3090,2366,2366,2745,2840,2840,2380,2385,2385,3472,3585,3585,3400,3588,3588,2990,3240,3240,
"JSE Volume Traded (Actual)",735611451,132768810,512732769,352386741,552624792,118815482,101416871,229924851,128507980,564237127,120253727,309003552,153212315,155791237,647685706,200065324,318778038,145829890,172948148,557007944,121652816,118321341,169680581,320135832,150455251,107738013,392247949,89243131,99845143,196795843,96950700,320082886,78697621,72452658,89724002,170612444,80888442,331046706,67315844,108458261,155272601,77409523,77863078,77511044,275595436,49410056,148674336,92008269,56666067,348230743,96837033,100851855,153000236,77784433,94084301,121745731,430550205,108829377,78452097,201752728,
"JSE Rand Value Traded (Actual)",24422618476,3385644324,18760446350,13888837708,34021917892,7166396260,7492288249,17875499449,10383211200,50456446903,10204446214,27501914752,12665906281,14836008470,56660918924,18795947314,26560559135,12588144108,13972415026,36463914506,8522261054,7921666581,11521751273,20227348239,8705596966,4471803399,17431112959,4143337188,4760845953,8891195945,4130349991,11449038660,3404367109,2650779866,3087578765,5456028855,2368450090,8778974164,1686419408,2703511591,4389043165,2320552524,2068490641,1868078870,6938940982,1371353840,3699508271,2371779007,1327729265,11730697652,2794234730,3555712001,5468293869,2793385177,3337457257,4149858259,13650944329,3281232943,2538600962,6277371342,
"12 Month HEPS",-308.37,392.13,392.83,510.79,602.55,868.64,797.17,797.17,792.19,770,933.54,796.66,788.4,810.29,866.85,1180.37,885.49,883.85,884.04,863.21,853.15,908.08,667.58,667.58,456.76,379.93,379.93,243.53,350.85,340.48,304.87,331.75,331.75,344.21,-93.53,-93.53,-39,-92.8,-92.8,569.28,24.5,99.94,161.09,75.75,75.75,127.65,-4.6,-7.55,-18.42,-111.12,-107.29,-263.22,73.8,73.21,106.03,74.93,75.38,77.36,-231.16,-231.16,
"12 Month Dividend",,,,,,245.33,245.33,245.33,245.33,245.33,215.55,215.55,,215.55,215.55,215.56,149.23,,149.23,149.23,149.23,149.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Cash flow items,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Mar 2017","Dec 2016","Sep 2016","Sep 2016","Jun 2016","Mar 2016","Mar 2016","Dec 2015","Sep 2015","Sep 2015","Jun 2015","Mar 2015","Mar 2015","Dec 2014","Sep 2014","Sep 2014","Jun 2014","Mar 2014","Mar 2014","Dec 2013","Sep 2013","Sep 2013","Jun 2013","Mar 2013","Mar 2013","Dec 2012","Sep 2012","Sep 2012","Jun 2012","Mar 2012","Mar 2012","Dec 2011","Sep 2011","Sep 2011","Jun 2011","Mar 2011","Mar 2011","Dec 2010","Sep 2010","Sep 2010","Jun 2010","Mar 2010","Mar 2010",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)",
,"5 Nov 2020","30 Jul 2020","7 May 2020","5 Feb 2020","14 Nov 2019","1 Aug 2019","9 May 2019","9 May 2019","6 Feb 2019","15 Nov 2018","13 Aug 2018","14 May 2018","14 May 2018","7 Feb 2018","16 Nov 2017","3 Aug 2017","15 May 2017","15 May 2017","8 Feb 2017","10 Nov 2016","10 Nov 2016","4 Aug 2016","9 May 2016","9 May 2016","10 Feb 2016","12 Nov 2015","12 Nov 2015","7 Aug 2015","14 May 2015","14 May 2015","11 Feb 2015","10 Nov 2014","10 Nov 2014","31 Jul 2014","12 May 2014","12 May 2014","5 Feb 2014","7 Nov 2013","7 Nov 2013","2 Aug 2013","9 May 2013","9 May 2013","6 Feb 2013","8 Nov 2012","8 Nov 2012","3 Aug 2012","10 May 2012","10 May 2012","8 Feb 2012","10 Nov 2011","10 Nov 2011","4 Aug 2011","9 May 2011","9 May 2011","9 Feb 2011","8 Nov 2010","8 Nov 2010","2 Aug 2010","7 May 2010","7 May 2010",
"Cash generated by operations",323,25,252,136,673,118,182,379,197,709,141,356,194,162,748,139,405,203,202,693,191,144,187,358,171,181,544,90,136,273,137,566,160,118,152,288,136,447,121,61,265,115,150,182,728,,409,214,195,798,183,148,467,222,245,182,737,188,122,367,
"Working capital changes",65,20,-90,-76,-15,20,-80,-167,-87,-79,33,-118,-35,-83,-27,-7,-123,-26,-97,4,70,56,-22,-122,-100,86,-11,16,23,-113,-136,34,153,-29,59,-90,-149,-20,108,8,-136,-6,-130,115,-102,,-190,-24,-166,-98,266,-46,-318,17,-335,181,-5,-84,68,-102,
"Net Cash flow from operating activities",260,11,69,-5,473,118,-53,49,102,410,147,92,13,79,481,116,116,62,54,550,255,139,139,156,17,243,382,73,120,66,-54,437,287,35,185,115,-70,246,207,10,29,78,-49,251,411,137,108,148,-40,406,380,45,-19,136,-155,296,529,65,161,168,
"Net cash flow from investing activities",-517,-78,-347,-273,-472,-135,-95,-204,-109,-664,-188,-331,-238,-93,-373,-86,-79,20,-37,-191,-87,-57,-49,-47,2,-84,-237,-48,-38,-105,-67,-194,1,-79,-53,-116,-63,-493,-96,-167,-230,-177,-53,-48,-284,-108,-128,-57,-71,-243,-101,-65,-77,-36,-41,-58,-188,-41,-52,-89,
"Net cash flow from financing activities",138,-7,151,147,56,-489,531,533,2,68,-71,118,60,58,-279,-314,-16,-10,-6,-130,-29,-7,-22,-94,-72,-17,-127,-77,28,-33,-61,-36,24,-13,-4,-47,-43,-8,34,-7,-35,11,-46,39,-103,32,-174,-57,-117,-296,68,-190,-174,-159,-15,-12,-256,-179,-122,-65,
"Dividends paid",,,,,-92,,-92,-92,,-81,,-81,-81,,-59,,-59,-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",-119,-74,-127,-131,57,-506,383,378,-5,-186,-112,-121,-165,44,-171,-284,21,,11,229,139,75,68,15,-53,142,18,-52,110,-72,-182,207,312,-57,128,-48,-176,-255,145,-164,-236,-88,-148,242,24,-24,-194,34,-228,-133,347,-210,-270,-59,-211,226,85,-155,-13,14,
"Cash & Cash Equivalent beginning of period",393,268,393,393,363,720,350,363,363,550,459,550,618,550,703,703,703,681,703,456,542,457,383,456,456,351,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",5,-4,2,8,-27,12,-13,-21,-8,-1,-30,30,6,24,18,27,-21,12,-33,18,22,10,6,-14,-20,-37,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",279,190,268,270,393,226,720,720,350,363,317,459,459,618,550,446,703,703,681,703,703,542,457,457,383,456,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ratios,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Mar 2017","Dec 2016","Sep 2016","Sep 2016","Jun 2016","Mar 2016","Mar 2016","Dec 2015","Sep 2015","Sep 2015","Jun 2015","Mar 2015","Mar 2015","Dec 2014","Sep 2014","Sep 2014","Jun 2014","Mar 2014","Mar 2014","Dec 2013","Sep 2013","Sep 2013","Jun 2013","Mar 2013","Mar 2013","Dec 2012","Sep 2012","Sep 2012","Jun 2012","Mar 2012","Mar 2012","Dec 2011","Sep 2011","Sep 2011","Jun 2011","Mar 2011","Mar 2011","Dec 2010","Sep 2010","Sep 2010","Jun 2010","Mar 2010","Mar 2010",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)",
,"5 Nov 2020","30 Jul 2020","7 May 2020","5 Feb 2020","14 Nov 2019","1 Aug 2019","9 May 2019","9 May 2019","6 Feb 2019","15 Nov 2018","13 Aug 2018","14 May 2018","14 May 2018","7 Feb 2018","16 Nov 2017","3 Aug 2017","15 May 2017","15 May 2017","8 Feb 2017","10 Nov 2016","10 Nov 2016","4 Aug 2016","9 May 2016","9 May 2016","10 Feb 2016","12 Nov 2015","12 Nov 2015","7 Aug 2015","14 May 2015","14 May 2015","11 Feb 2015","10 Nov 2014","10 Nov 2014","31 Jul 2014","12 May 2014","12 May 2014","5 Feb 2014","7 Nov 2013","7 Nov 2013","2 Aug 2013","9 May 2013","9 May 2013","6 Feb 2013","8 Nov 2012","8 Nov 2012","3 Aug 2012","10 May 2012","10 May 2012","8 Feb 2012","10 Nov 2011","10 Nov 2011","4 Aug 2011","9 May 2011","9 May 2011","9 Feb 2011","8 Nov 2010","8 Nov 2010","2 Aug 2010","7 May 2010","7 May 2010",
"Return on Capital Employed",-3.12,-6.73,1.17,1.99,4.79,0.71,6.44,6.85,7.33,7.18,4.65,7.03,8.7,5.72,8.04,5.7,9.33,9.22,9.75,8.61,12.1,3.32,10.4,9.1,8,8.69,4.37,0.41,5.7,4.07,2.33,3.18,6.41,1.56,2.85,2.23,1.62,-4.03,-13.2,-4.02,0.61,0.17,1,8.82,1.92,-9.14,4.31,4.85,3.87,-5.37,-10.91,-5.56,-1.5,-6,2.9,6.53,0.93,5.31,-2.54,-3.36,
"Return on Shareholder Funds",-8.27,-16.4,2.85,4.64,10.83,1.57,14.49,15.4,16.92,16.59,11.07,16.77,20.73,13.84,19.35,14.26,22.95,22.7,24.97,23.15,32.51,10.83,35.91,31.42,29.56,32.71,16.45,1.43,19.74,14.1,9.07,12.93,26.05,5.86,11.17,8.73,6.42,-15.91,-52.1,-14.03,1.94,0.55,3.17,28.07,6.1,-27.23,12.55,14.13,11.87,-16.91,-34.37,-14.44,-3.79,-15.17,7.34,17.72,2.53,14.89,-7.37,-9.74,
"Return on Total Assets",-2.36,-7.3,1.27,2.38,5.35,1.3,6.5,6.81,7.58,7.51,4.91,8.19,9.31,7.33,8.56,5.92,9.25,9.22,9.38,8.2,11.36,3.96,10.87,9.57,8.45,8.96,4.68,0.97,6.01,4.3,2.5,2.51,2.71,1.97,3.64,2.61,1.59,-2.93,-10.97,-4.3,1.74,2.12,1.84,7.98,1.97,-7.14,3.97,4.49,3.57,-3.84,-9.13,-3.37,-0.54,-3.97,2.83,5.29,0.92,5.91,-2,-3.35,
"Gross Profit Margin",8.66,1.32,11.69,12.06,13.52,9.85,14.17,14.89,15.66,15.12,12.11,16.31,16.84,15.71,16.37,13.57,17.1,16.87,17.34,16.94,18.43,15.04,19.01,17.07,15.11,16.61,12.93,8.73,14.95,13,11.11,11.4,11.89,10.71,12.27,11.49,10.67,10.8,10,6.14,13.43,15.24,11.59,14.01,12.53,9.07,13.46,13.78,13.12,11.42,11.47,9.05,12.55,12.5,12.6,15.56,11.96,17.98,8.44,6.95,
"Operating Profit Margin",-0.82,-7.94,2.99,4.22,6.67,3.36,7.78,8.22,8.67,8.42,5.81,9.55,10.29,8.72,9.93,7.14,10.86,10.79,10.92,10.58,12.69,7.85,11.98,10.78,9.58,9.62,7.63,2.75,12.86,8.88,5.01,5.18,5.05,4.65,6.29,5.5,4.67,0.32,-7.19,-0.99,4.8,5.06,4.54,10.09,6.73,2.2,7.05,7.35,6.75,1.18,-4.92,3,3.25,-0.01,6.46,8.91,5.2,9.61,2.09,0.91,
"Net Profit Margin",-2.93,-8.05,1,1.84,3.67,0.58,4.79,5.24,5.71,5.56,3.53,5.84,6.82,4.74,6.38,4.6,6.78,6.69,6.88,6.21,8.36,2.62,7.73,6.79,5.84,5.92,3.1,0.31,4.19,2.95,1.74,2.23,4.52,1.15,2.03,1.63,1.2,-3.07,-9.74,-3.32,0.47,0.13,0.81,6.75,1.47,-6.87,3.2,3.55,2.84,-3.43,-7.11,-3.77,-1,-4.06,1.98,4.74,0.73,4,-1.97,-2.57,
"Debt:Equity (excl non-int debt)",1.82,1.6,1.54,1.43,1.36,1.32,1.57,1.57,1.37,1.37,1.44,1.46,1.46,1.5,1.48,1.58,1.81,1.81,1.94,2.11,2.11,2.44,2.57,2.57,2.83,2.96,2.96,2.66,2.66,2.66,3.02,3.22,3.22,2.92,3.01,3.01,3.07,3.03,3.04,2.56,2.41,2.41,2.38,2.36,2.36,2.24,2.14,2.14,2.29,2.45,2.45,2.02,2,2,1.98,2.08,2.08,2.16,2.37,2.37,
"Interest Bearing Debt as % of Long-Term Finance",53.28,49.97,50.38,47.89,46.79,46.43,46.96,46.96,48.15,48.29,49.64,49.64,49.64,50.14,49.89,50.12,48.88,48.88,50.53,52.69,52.69,61.83,63.92,63.92,66.14,66.68,66.68,64.67,64.76,64.76,67.88,68.88,68.88,66.99,68.07,68.07,68.54,68.6,68.6,64.49,60.85,60.85,60.25,60.73,60.73,58.66,57.48,57.48,59.69,60.76,60.76,51.9,50.73,50.73,51.26,55,55,56.72,58.37,58.37,
"Interest Cover",-0.43,-3,1.81,2.75,4.51,1.64,5.85,6.49,7.24,7.19,4.67,7.5,7.33,7.73,6.58,5.63,5.82,5.92,5.72,4.5,7.39,2,6.2,5.56,4.92,5.4,2.26,1.52,1.77,1.8,1.86,1.77,1.95,1.64,2.06,1.76,1.46,0.1,-2.34,-0.3,1.55,1.69,1.43,4.32,1.4,0.24,2.16,2.35,1.98,0.26,-1.57,0.48,0.86,,1.7,2.51,1.24,2.7,0.53,0.21,
"Quick Ratio",0.79,0.75,0.86,0.87,0.93,0.89,0.95,0.95,0.87,0.99,0.96,1.09,1.09,1.15,1.18,1.14,1.04,1.04,0.98,0.95,0.95,1.17,1.18,1.18,1.09,1.05,1.05,0.93,0.96,0.96,1.01,1.04,1.04,1,1.05,1.05,0.97,1,1,1.08,0.9,0.9,0.99,1.1,1.07,0.88,0.89,0.89,0.89,0.87,0.89,0.67,0.71,0.71,0.76,0.83,0.81,0.84,0.85,0.85,
"Current Ratio",1.39,1.45,1.52,1.55,1.51,1.61,1.46,1.46,1.54,1.62,1.64,1.77,1.77,1.76,1.79,1.85,1.54,1.54,1.45,1.36,1.36,1.79,1.87,1.87,1.79,1.59,1.59,1.56,1.61,1.61,1.71,1.6,1.6,1.66,1.72,1.72,1.67,1.6,1.6,1.83,1.53,1.53,1.61,1.66,1.63,1.44,1.5,1.5,1.47,1.32,1.35,1.14,1.15,1.15,1.21,1.24,1.22,1.29,1.25,1.25,
"Dividend Cover",,,,,,,,,,3.33,,,,,3.96,,,,,5.97,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dividend Cover (HEPS)",,,,,,,,,,3.14,,,,,4.02,,,,,5.78,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Debtors Collection Period",46.25,56.64,48.11,48.92,45.61,47.26,44.74,46.05,45.5,48.22,44.39,47.4,44.77,44.94,46.04,44.61,40.25,40.15,38.97,45.58,43.72,46.71,44.85,45.02,43,42.28,44.02,45.27,41.87,41.27,45.59,44.02,44.32,53.5,44.32,45.39,47.24,46.08,44.61,48.68,44.12,43.71,47.76,46.46,46.41,46.22,42.7,42.08,44.39,41.78,42.59,49.07,46.6,47.23,44.19,46.45,50.15,48.19,47.71,47.05,
