"Cash & Cash Equivalent end of period",16191,18526,12987,14193,10764,6962,6741,4184,,1369,2329,3543,6507,6644,6514,7121,6908,,,,,,,,,,,,,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)",
,"30 Sep 2020","31 Mar 2020","1 Oct 2019","28 Mar 2019","1 Oct 2018","29 Mar 2018","13 Dec 2017","2 Oct 2017","21 Jun 2017","31 Mar 2017","21 Dec 2016","30 Sep 2016","30 Jun 2016","14 Apr 2016","6 Jan 2016","30 Sep 2015","29 Jun 2015","13 Mar 2015","22 Dec 2014","30 Sep 2014","17 Jun 2014","29 Apr 2014","9 Dec 2013","30 Sep 2013","2 Jul 2013","12 Apr 2013","18 Dec 2012","28 Sep 2012","25 Jun 2012","16 Feb 2012","10 Jan 2012","27 Sep 2011","23 Jun 2011","13 Jun 2011","17 Dec 2010","11 Aug 2010","11 May 2010",
"Return on Capital Employed",2.64,9.24,2.91,3.09,8.24,10.03,10.34,6.51,2.13,6.05,5.36,5.52,0.07,4.63,7.96,8.36,27.28,13.36,14.2,8.03,10.25,13.66,12.04,1.04,0.38,2.54,0.07,-18.47,-19.68,-13.26,30.06,30.88,38.34,40.37,24.29,21.14,23.57,
"Return on Shareholder Funds",3.31,9.42,2.97,3.22,8.69,11.52,11.35,7.08,2.31,6.65,5.98,6.09,0.07,4.88,8.11,8.51,27.83,13.51,14.58,8.31,10.62,14.3,12.79,1.12,0.42,2.65,0.07,-19.87,-19.98,-13.36,30.37,31.52,39.63,42.56,25.99,23.12,27.5,
"Return on Total Assets",7.03,9.19,0.65,3.86,9.44,15.16,13.14,7.09,2.97,6.23,5.72,5.89,0.07,5.25,9.36,9.04,32.09,15.69,14.61,9.04,12.47,16.53,13.3,1.49,0.4,2.47,-11.94,-14.92,-15.77,-11.03,25.36,24.87,32.1,29.24,21.14,22.8,24.07,
"Gross Profit Margin",39.58,38.53,36.51,36.28,37.85,36.16,37.1,33.57,22.72,32.26,31.65,35.21,28.56,35.32,34.64,29.83,32.12,32.55,33.46,25.24,30.54,28.77,24.13,17.71,20.41,21.24,11.55,12.37,12.21,11.98,15.8,15.72,16.65,15.46,15.27,16.14,16.5,
"Operating Profit Margin",2.75,3.35,0.15,1.06,3.97,6.34,5.6,3.47,1.23,3.04,2.47,2.6,0.15,1.81,3.01,3.59,4.33,6.35,6.65,3.85,4.91,6.34,5.74,0.66,0.15,0.88,-3.22,-3.85,-3.74,-2.49,5.38,5.08,6.45,5.88,5.25,4.95,4.63,
"Net Profit Margin",1.37,3.88,1.04,1.05,2.73,3.45,3.24,2.04,0.54,1.86,1.68,1.91,0.02,1.52,2.42,2.8,3.05,4.48,4.72,2.58,3.24,4.23,4.01,0.26,0.09,0.62,0.01,-2.95,-2.93,-1.88,3.73,3.43,4.18,3.92,3.3,2.87,3.1,
"Debt:Equity (excl non-int debt)",0.25,0.02,0.02,0.04,0.06,0.15,0.1,0.09,0.09,0.1,0.12,0.1,0.03,0.06,0.02,0.02,0.02,0.01,0.03,0.04,0.04,0.05,0.07,0.08,0.09,0.04,0.06,0.08,0.02,0.01,0.01,0.02,0.04,0.06,0.07,0.1,0.25,
"Interest Bearing Debt as % of Long-Term Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,,
"Interest Cover",-0.21,-3.81,-2,-2.61,12.22,21.38,37.57,7.44,6.66,6.31,18.33,-36.51,1.21,-5.8,-7.96,-22.55,46.82,57.85,13.88,20.63,19.22,24.94,33.51,4.39,5.94,4.01,0.36,25.36,26.78,-24.44,-36.6,-30.12,-50.21,57.38,-117.3,-43.42,-53.86,
"Quick Ratio",3.12,3.02,4.56,2.71,2.23,2.12,1.5,1.41,1.61,1.38,1.43,1.66,1.78,2.05,2.17,1.94,2.05,2,1.83,1.82,2.2,2.07,1.7,1.4,1.27,1.2,1.39,1.18,1.23,1.42,1.36,1.25,1.26,1.18,1.19,1.43,1.46,
"Current Ratio",3.16,3.11,4.63,2.76,2.28,2.16,1.52,1.45,1.68,1.42,1.47,1.7,1.85,2.08,2.2,1.97,2.07,2.01,1.84,1.84,2.36,2.26,1.85,1.54,1.49,1.43,1.48,1.18,1.23,1.42,1.36,1.25,1.26,1.18,1.19,1.43,1.46,
"Dividend Cover",0.42,1.3,0.45,1.34,1.34,3.29,2.38,2.34,0.93,2.68,2.38,1.92,0.02,3.76,1.57,1.31,5.34,1.05,1.41,1.41,6.15,5.55,4.8,0.24,0.15,0.98,0.01,-3.3,-3.47,-2.5,1.4,4.54,0.83,0.58,1.33,2.99,1.09,
"Dividend Cover (HEPS)",0.4,1.3,0.45,1.34,1.34,3.29,2.38,2.34,0.94,2.68,2.38,1.93,0.02,3.76,1.57,1.31,5.34,1.05,1.41,1.41,6.15,5.55,4.8,0.2,0.15,0.98,0.04,-3.3,-3.47,-2.5,1.4,4.52,0.82,0.57,1.38,3.21,1.1,
"Debtors Collection Period",21.73,27.36,21.96,18.99,27.79,30.69,39.13,45.36,65.43,50.21,48.28,73.44,58.55,56.18,48.81,54.8,16.11,45.58,54.33,55.83,54.81,54.89,62.9,49.08,38.91,37.44,27.76,25.88,22.05,21.54,27.26,19.71,22.67,30.37,28.85,19.49,16.51,
"Stock Turn",168.91,65.83,173.54,134.8,112.58,154.93,227.72,121.42,96.66,124.58,132.12,107.91,83.09,208.5,265.75,178.82,1287.46,644.08,1234.52,296.27,50.68,42.24,40.9,48.46,34.51,25.61,104.35,,,,,,,,,,,
"Price : Earnings",29.32,13.89,29.44,30.5,12.09,6.17,6.65,12.82,8.82,9.79,14.57,24.9,29.5,37.54,7.27,21.1,17.79,24.38,12.13,14.22,16.02,13.61,22.49,57.14,10.33,15.14,441.18,-8.06,92.44,10.48,5.97,5.37,4.95,5.85,6.2,8.82,7.06,
"Sales Per Share (Base Currency)",189.68,201.41,238.18,255.39,270.4,285.99,293.91,287.21,343.99,287.25,282.11,251.01,263.63,246.38,259.44,233.61,699.96,234.16,238.53,246.28,253.27,262.35,239.13,313.25,336.9,317.44,407.85,447.18,474.35,532.98,638.43,704.43,752.36,821.25,564.05,554.66,559.37,
"Price/Sales Per Share",0.38,0.35,0.31,0.45,0.33,0.17,0.15,0.26,0.2,0.19,0.25,0.48,0.39,0.48,0.18,0.59,0.21,0.63,0.36,0.37,0.54,0.3,0.27,0.18,0.22,0.19,0.18,0.22,0.23,0.3,0.22,0.2,0.17,0.16,0.21,0.32,0.36,
"Price/Net Asset Value",0.93,0.84,0.87,1.38,1.05,0.58,0.54,0.91,0.86,0.68,0.88,1.52,1.35,1.55,0.59,1.79,1.89,1.89,1.11,1.18,1.75,1.03,0.87,0.77,1.03,0.81,1.01,1.5,1.58,2.14,1.81,1.82,1.64,1.78,1.68,2.61,3.23,
"Price/Cash Flow",2.29,5.7,3.31,14.29,2.21,6.38,19.96,4.38,,-41.51,-109.38,19.58,141.98,63.47,141.54,7.06,33.98,18.13,34.57,3.95,14.97,25.48,393.94,-4.13,-25,154.84,-7.68,-17.71,-73.33,-105.26,5.62,5.73,11.49,56.13,3.25,7.77,21.36,
"NAV%Price",107.49,118.4,114.36,72.47,95.51,171.08,186.67,110.15,115.64,146.25,113.5,65.63,73.9,64.58,168.57,55.78,52.94,52.83,89.8,84.78,57.09,97.01,115.32,130.27,97.48,123.23,99.27,66.49,63.15,46.81,55.21,54.81,61,56.03,59.66,38.29,30.95,
"Liquidity%",86.27,206.91,158.24,128.59,131.92,84.14,76.65,35.83,,-11.39,-23.01,14.06,34.17,24.54,21.08,69.02,276.43,131.72,122.31,69.65,65.9,46.9,7.86,-55.03,-28.77,13.46,-23.91,-18.82,-12.34,-49.58,35.26,52.16,52.07,36.34,44.51,67.75,68.42,
"Cash Flow:Attributable Profit",4.31,12.57,8.89,23.98,5.46,6.36,15.13,2.93,,1.42,1.96,-3.82,-1.84,-1.66,3.32,2.98,12.79,6.18,14.15,-7.05,2.64,2.26,1.1,-39.4,-78.81,12.6,0.76,1.01,0.87,9.72,1.06,2.39,2.88,4.78,1.98,3.45,4.4,
"Cash/Equity (%)",49.12,53.22,37.04,40.69,30.46,19.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",,,,35.09,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEG Ratio",-3.26,-1.65,-3.5,0.04,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.04,0.04,0.05,0.01,0.03,0.03,0.03,0.02,0.02,-0.89,-0.76,-1.25,-3.17,-0.57,-0.84,-24.5,-1.03,11.83,1.34,0.76,1.33,1.23,1.45,1.54,0.42,0.34,

