"Headline Earnings Per Share (Cont Ops) (ZARc)",-154,249,204,-4,171,224,298,150,221,-103,17,-120,44,-189,-60,-114,-175,-61,26,30,12,-16,-21,-21,-16,5,-185,3,-51,143,240,97,565,-11,201,275,205,95,30,232,100,101,69,33,-6,1,-24,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-157,240,197,-6,163,218,284,142,216,-103,17,-120,44,-189,-60,-114,-175,-61,26,30,12,-16,-21,-21,-16,5,-185,3,-51,142,239,97,463,-11,200,274,204,95,30,232,100,101,69,33,,1,-24,
"Distributions Per Share (ZARc)",,,,,,,85,50,50,,,,,,,,,,,,,,,,,,,,,,50,,90,,,40,,,,60,,50,,,,50,,
"Net Asset Value Per Share (ZARc)",3874.87,4408.15,4189.01,4807.99,5073.85,6689.53,6657.69,6993.84,6443.87,6153.76,6153.76,6073.08,6150.11,6133.38,6868.24,6905.39,6905.39,7118.45,7122.58,7154.18,7260.37,7337,7337,7337,7337,7254.02,7405,7405,8185,8123,8123,7904,7897.32,7897.32,7727.97,7565.28,7565.28,7290.26,7013,7012.57,6916,6854.38,6854.38,6818.69,6814,6814.11,6877.89,
"3 Year Beta",1.84,0.48,0.94,-0.09,-0.33,0.72,0.92,0.48,-0.22,1.17,1.17,1.67,1.63,1.63,0.95,0.6,0.6,0.97,0.57,0.57,0.53,0.69,0.69,0.69,0.69,0.73,0.47,0.47,-0.05,0.08,0.08,0.01,-0.17,-0.17,0.39,-0.13,-0.13,-0.1,-0.2,-0.2,-0.25,-0.02,-0.02,-0.02,0.09,0.09,0.16,
"Cash Generated per share",783.07,506.26,866.74,497.86,776.41,411.94,864.63,435.21,1035.8,403.4,238.79,165.25,124.14,461.79,88.51,-4.13,247.65,252.94,523.55,112.7,178.57,210.7,156.76,162.96,232.04,67.08,22.97,727.56,32.39,269.27,600.56,331.45,976.22,238.67,167.57,570.35,322.97,247.98,237.63,553.15,58.4,257.5,98.49,159.26,-190.83,369.29,74.61,
"Net Asset Value Per Share (Base Currency)",3874.87,4408.15,4189.01,4807.99,5073.85,6689.53,6657.69,6993.84,6443.87,6153.76,6153.76,6073.08,6150.11,6133.38,6868.24,6905.39,6905.39,7118.45,7122.58,7154.18,7260.37,7337,7337,7337,7337,7254.02,7405,7405,8185,8123,8123,7904,7897.32,7897.32,7727.97,7565.28,7565.28,7290.26,7013,7012.57,6916,6854.38,6854.38,6818.69,6814,6814.11,6877.89,
"Price at Period End (Base Currency)",7186,5120,3174,2520,2122,2269,2168,3153,5247,1560,1560,863,1559,1559,2114,2161,2161,2470,3115,3115,3270,2590,2590,2590,2590,3465,3575,3575,5911,7400,7400,6983,7650,7650,8339,9500,9500,9535,8995,8995,9929,8300,8300,7800,8140,8140,6880,
"JSE Market Price at Period End (ZARc)",7186,5120,3174,2520,2122,2269,2168,3153,5247,1560,1560,863,1559,1559,2114,2161,2161,2470,3115,3115,3270,2590,2590,2590,2590,3465,3575,3575,5911,7400,7400,6983,7650,7650,8339,9500,9500,9535,8995,8995,9929,8300,8300,7800,8140,8140,6880,
"JSE Market Price High (ZARc)",7428,5906,3298,3150,2908,2828,6700,6700,6289,1989,1989,1599,2498,3850,3850,2470,3593,3593,4320,3690,4098,4320,3655,3655,4320,4320,5985,8571,7598,7498,8571,8571,11609,8951,10182,11609,11609,10830,10470,10470,10470,8858,8858,8475,8220,8895,8195,
"JSE Market Price Low (ZARc)",2945,2945,2036,2036,1900,2024,2009,2587,792,792,792,840,1532,1532,2015,1660,1660,2468,2378,2676,2590,2378,2378,2378,2378,3221,3291,3291,5296,6410,6410,6630,7159,7159,8160,8547,9202,8547,8300,7050,7400,7050,7531,7050,6815,6771,6771,
"JSE Volume Traded (Actual)",804170787,313611290,484808988,222445110,422527671,195046270,534682444,267998294,613006486,251996678,111397285,140599393,101533544,427318817,92861369,188015274,233794206,45778932,267604091,56782879,63948574,147800131,65220785,65220785,147800131,82579346,109971007,353378698,80230051,79180711,163177640,83996929,300664625,72585496,78519027,149560102,59409371,90150731,74400702,306869110,84492779,150475648,60393418,90082230,105941976,435070882,79832760,
"JSE Value Traded (Actual)",41196743250,14215926967,12566388452,5502132626,9870670204,4696376121,20619343196,12321997771,19268739883,2961151545,1260785657,1700365888,1965549671,9665009512,2668719266,3610474696,5049043026,1438568330,8987488090,1783992544,2110825576,5123267964,2036149897,2036149897,5123267964,3087118067,4610563533,21379965663,4951664579,5498712428,11817737550,6319025123,27935083553,5813693166,7307281428,14814108960,6183802812,8630306147,7087826985,25913118555,7197491797,11879610021,4914556324,6965053697,7865373318,33435131162,5839117391,
"12 Month HEPS",-154,457,204,-57,171,372,298,474,221,-197.5,-197.5,-261.75,-189,-189,-245,-133,-133,-41.5,26,26,152,-253,-253,-253,-253,7.25,3,3,151,530,530,520.75,565,451,408,406,431,269,223,232,274,65,66,33.75,1,1,-67,
"12 Month Dividend",,,,,,35,85,85,100,50,50,,,,,,,,,,,,,,,50,50,50,100,100,100,100,90,90,100,,100,100,60,60,60,50,50,50,100,50,50,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"15 Sep 2020","11 Feb 2020","20 Aug 2019","12 Feb 2019","21 Aug 2018","13 Feb 2018","17 Aug 2017","2 Feb 2017","17 Aug 2016","4 Feb 2016","4 Feb 2016","5 Nov 2015","18 Aug 2015","18 Aug 2015","8 May 2015","9 Feb 2015","9 Feb 2015","5 Nov 2014","14 Aug 2014","14 Aug 2014","6 May 2014","3 Feb 2014","3 Feb 2014","9 Feb 2015","9 Feb 2015","8 Nov 2013","14 Aug 2013","14 Aug 2013","3 May 2013","4 Feb 2013","4 Feb 2013","7 Nov 2012","16 Aug 2012","16 Aug 2012","9 May 2012","6 Feb 2012","6 Feb 2012","31 Oct 2011","15 Aug 2011","15 Aug 2011","5 May 2011","8 Feb 2011","8 Feb 2011","1 Nov 2010","16 Aug 2010","16 Aug 2010","10 May 2010",
"Cash generated by operations",5031,2928,5052,2810,4289,2044,4346,2241,4659,1736,,,,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",4723,2733,4679,2650,3884,1832,3804,1914,4513,1762,1043,719,540,2006,386,-18,1080,1098,2268,489,778,918,683,710,1011,292,100,3167,141,1172,2614,1442,4213,1030,723,2460,1393,1067,1022,2379,251,1106,423,683,-816,1583,318,
"Net cash flow from investing activities",-3558,-2223,-4797,-2341,-8075,-2584,-3383,-968,-2599,-1165,-568,-597,-711,-2908,-679,-872,-1518,-646,-2640,-675,-630,-1252,-625,-652,-1345,-684,-953,-2790,651,-1121,-2176,-1055,-2878,-854,-580,-1444,-776,-668,-743,-2654,-671,-1239,-760,-479,-711,-3416,-671,
"Net cash flow from financing activities",4305,-285,380,351,3723,555,-450,-928,-1745,-817,-1117,300,530,148,-382,,,148,144,,-462,606,-3,-3,606,609,-153,-87,-221,184,287,103,-210,184,115,-509,-707,198,-250,209,246,213,426,-213,201,650,-4,
"Dividends paid",,,,,-154,,-439,,,,,,,,,,,,,,,,,,,,,-435,-217,,,-218,-431,,,-258,,-258,,-214,,-214,,-214,,-213,,
"Net increase(decrease) in cash & cash equivalents",5364,257,287,682,-540,-191,-10,-41,189,-191,,,,-762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent beginning of period",993,993,706,706,1246,1246,1256,1256,1067,1067,,,,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",-106,32,25,22,,0.006,,-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",6357,1250,993,1388,706,1055,1246,1215,1256,876,,,,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Dec 2015","Sep 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"15 Sep 2020","11 Feb 2020","20 Aug 2019","12 Feb 2019","21 Aug 2018","13 Feb 2018","17 Aug 2017","2 Feb 2017","17 Aug 2016","4 Feb 2016","4 Feb 2016","5 Nov 2015","18 Aug 2015","18 Aug 2015","8 May 2015","9 Feb 2015","9 Feb 2015","5 Nov 2014","14 Aug 2014","14 Aug 2014","6 May 2014","3 Feb 2014","3 Feb 2014","9 Feb 2015","9 Feb 2015","8 Nov 2013","14 Aug 2013","14 Aug 2013","3 May 2013","4 Feb 2013","4 Feb 2013","7 Nov 2012","16 Aug 2012","16 Aug 2012","9 May 2012","6 Feb 2012","6 Feb 2012","31 Oct 2011","15 Aug 2011","15 Aug 2011","5 May 2011","8 Feb 2011","8 Feb 2011","1 Nov 2010","16 Aug 2010","16 Aug 2010","10 May 2010",
"Working Revenue Per Share",5466.36,5785.79,5135.88,5354.95,4585.65,4478.46,4398.17,4513.15,4207.94,4001.38,4196.65,3806.02,3549.43,3553.18,3156.54,3422.39,3753.05,4082.93,3620.04,3469,3535.66,3737.99,3761.61,3761.61,3737.99,3715.21,3220.53,3681.87,3268.18,4275.25,4120.02,3965.7,3521.12,3647.66,2988.18,3725.24,4124.51,3654.63,3183.26,2701.42,2571.36,2831.9,2787.23,2876.6,2838.5,2646.34,2366.58,
"Price/Sales Per Share",1.31,0.88,0.62,0.47,0.46,0.51,0.49,0.7,1.25,0.39,0.37,0.23,0.44,0.44,0.67,0.63,0.58,0.6,0.86,0.9,0.92,0.69,0.69,0.69,0.69,0.93,1.11,0.97,1.81,1.73,1.8,1.76,2.17,2.1,2.79,2.55,2.3,2.61,2.83,3.33,3.86,2.93,2.98,2.71,2.87,3.08,2.91,
"Price/Net Asset Value",1.85,1.16,0.76,0.52,0.42,0.34,0.33,0.45,0.81,0.25,0.25,0.14,0.25,0.25,0.31,0.31,0.31,0.35,0.44,0.44,0.45,0.35,0.35,0.35,0.35,0.48,0.48,0.48,0.72,0.91,0.91,0.88,0.97,0.97,1.08,1.26,1.26,1.31,1.28,1.28,1.44,1.21,1.21,1.14,1.19,1.19,1,
"Price/Cash Flow",9.18,20.23,3.66,10.12,2.73,11.02,2.51,14.49,5.07,7.73,26.13,20.89,50.23,3.38,95.54,-2092.98,17.45,39.06,5.95,110.56,73.25,24.58,66.09,63.57,22.32,206.62,622.55,4.91,729.98,109.93,24.64,84.27,7.84,128.21,199.06,33.31,117.66,153.8,151.41,16.26,680.07,68.36,337.09,195.91,-170.62,22.04,368.85,
"Return on Capital Employed",-2.29,7.76,-7.78,-0.1,-12.45,4.74,1.03,8.1,2.71,-2.58,0.88,-5.96,-36.57,-13.16,-2.78,-9.74,-6.39,-2.95,-3.25,-12.54,0.31,-0.38,-0.9,-0.9,-0.38,0.13,-35.2,-5.91,-0.93,6.98,5.83,4.83,6.49,1.05,10.07,7.56,10.37,4.83,-0.43,1.63,2.45,2.21,3.52,1.15,0.34,-0.51,-3.17,
"Return on Shareholder Funds",-3.64,11.2,-11.53,0.29,-17.62,3.02,1.24,5,3.37,-1.66,1.13,-1.97,-47.13,-16.96,-0.88,-11.37,-3.73,-0.86,-4.09,-15.76,0.39,-0.24,-1.14,-1.14,-0.49,0.04,-43.42,-7.29,-0.35,8.45,7.07,5.84,7.76,1.26,12.16,9.34,12.82,6.1,-0.56,2.05,3.2,2.86,4.33,1.44,0.41,-0.66,-4.03,
"Return on Total Assets",-1.33,7.94,7.47,0.3,-11.83,3.13,-0.38,5.01,4.27,-1.16,1.54,-1.5,-42.02,-14.5,-0.75,-9.59,-3.08,-0.74,-3.79,-16.08,0.21,-0.08,-1.23,-1.23,-0.7,0.12,-32.55,-4.77,-0.49,7.31,6.13,5.11,4.47,2.53,1.93,7.36,10.75,5.57,-3.14,0.3,-0.62,2.24,2.74,0.39,3.8,0.47,-2.52,
"Operating Profit Margin",-1.22,10.56,-9.43,1.13,-22.79,12.13,-5.16,11.82,8.68,-4.8,2.52,-12.85,-95.18,-33.64,-8.55,-25.01,-15.03,-6.66,-9.95,-38.32,0.16,-1.55,-2.97,-2.97,-1.55,-0.1,-93.6,-12.72,-4.48,18.01,15.69,13.16,13.98,7.5,7.29,19.86,25.64,14.89,-6.49,1.51,5.76,2.26,9.9,2.85,13,1.45,-9.4,
"Net Profit Margin",-3,8.61,-9.69,-0.14,-21.87,9.08,1.88,15.6,5.18,-5.11,1.66,-12.58,-81.66,-29.39,-7.67,-23.04,-13.77,-6,-8.1,-32.5,0.81,-0.96,-2.24,-2.24,-0.96,0.32,-100.4,-14.77,-2.86,16.19,14.05,11.71,17.44,2.72,31.47,19.02,23.56,12.17,-1.23,5.32,8.62,6.92,10.67,3.41,0.99,-1.7,-11.7,
"Debt:Equity",0.33,0.42,0.26,0.23,0.22,0.09,0.07,0.05,0.08,0.13,0.22,0.16,0.22,0.13,0.18,0.19,0.1,0.1,0.09,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.15,0.08,0.13,0.13,0.13,0.12,0.1,0.11,0.11,0.11,0.11,0.14,0.12,0.12,0.13,0.12,0.05,0.28,0.1,0.1,0.03,
"Interest Cover",-1.41,8.34,-9.51,0.91,366,-16.72,4.71,-167.83,48.24,-15.96,8.46,-38.57,-921.25,-148,-28.6,-115.13,-41.23,-20.57,-24.26,-34.9,-6.2,-0.86,-11.71,-11.71,-0.86,0.27,326.8,28.48,-10.11,24.95,24.4,23.56,11.22,4.53,6.93,14.99,20.71,10.65,-2.8,3.15,2,6.92,12.06,3.38,5.19,3.02,276,
"Current Ratio",1.34,1.37,1.35,1.38,1.16,2.21,1.28,2.38,1.71,1.45,1.45,1.94,1.9,1.9,1.72,0.74,0.74,0.9,2.4,2.4,2.52,2.71,2.71,2.71,2.71,2.23,2,2,2.38,2.37,2.37,2.21,2.28,2.28,2.21,1.89,1.89,1.74,1.32,1.44,1.78,1.54,1.54,1.43,1.75,1.71,1.75,
"Dividend Cover",,,,,,,0.98,7.04,4.36,,,,,,,,,,,,,,,,,,,-10.85,,,5.78,,6.14,,,8.85,,,,2.88,,1.97,,,,-0.9,,
"Yield (g/ton)",1.49,1.64,1.72,1.74,1.76,1.72,1.77,1.78,1.83,1.93,1.93,1.93,1.78,1.86,1.74,1.91,1.94,1.98,1.94,1.9,1.95,1.95,2,2,1.95,1.95,1.83,1.93,1.76,0.06,,2.2,2,,,2.22,2.36,2.09,,2.07,2.06,2.07,,2.03,,2.39,2.31,
"Tons milled ('000)",25429,13084,25976,13388,22441,10364,19401,9676,18373,9162,4629,4533,4472,18063,4385,4436,9206,4770,18784,4698,4286,9800,4754,4754,9800,4543,4309,18373,4386,5072,9521,4920,18154,,,9412,4542,4870,,19280,4646,9773,,5098,,17963,4245,
"Output (kg)",37863,21411,44734,23359,38193,17418,33836,17227,33655,17681,8929,8752,7977,33513,7642,8459,17894,9435,36453,8935,8368,19150,9515,9515,19150,8860,7866,35374,7699,9074,19087,10013,36273,,8753,20925,10718,10207,10152,40535,9857,20526,,10471,,44433,9816,
"Price Received (R/kg)",735569,683158,586653,572898,570709,580672,570164,585908,544984,490773,507490,473567,463910,449570,460569,432963,438733,443690,432165,435775,450528,422386,415532,415532,422386,429292,427740,454725,470030,479801,460244,440868,419668,,419649,418381,438183,396405,329536,307875,312029,295069,,287401,,266009,267469,
"Working cost (R/kg)",553513,499139,439722,429860,421260,419440,436917,437996,392026,372358,360153,384810,389671,369203,377901,357111,356364,355693,328931,341864,343527,316517,308665,308665,316517,319286,335807,324979,362491,310858,301393,274404,274767,,293842,257114,249356,265288,242851,226667,217802,222787,,228658,,195162,199859,
"NAV%Price",53.92,86.1,131.98,190.79,239.11,294.82,307.09,221.82,122.81,394.47,394.47,703.72,394.49,393.42,324.89,319.55,319.55,288.2,228.65,229.67,222.03,283.28,283.28,283.28,283.28,209.35,207.13,207.13,138.47,109.77,109.77,113.19,103.23,103.23,92.67,79.63,79.63,76.46,77.97,77.96,69.65,82.58,82.58,87.42,83.71,83.71,99.97,
"Price : Earnings",-46.66,11.2,15.56,-44.21,12.41,6.1,7.28,6.65,23.74,-7.9,-7.9,-3.3,-8.25,-8.25,-8.63,-16.25,-16.25,-59.52,119.81,119.81,21.51,-10.24,-10.24,-10.24,-10.24,477.93,1191.67,1191.67,39.15,13.96,13.96,13.41,13.54,16.96,20.44,23.4,22.04,35.45,40.34,38.77,36.24,86.79,125.76,231.11,8140,8140,-102.69,
"Profitability %",-0.9,8.59,-6.91,0.77,-11.79,5.97,-2.56,5.8,4.3,-2.3,1.26,-5.78,-40.67,-14.37,-2.96,-9.3,-6.12,-2.87,-3.82,-14.11,0.06,-0.59,-1.14,-1.14,-0.59,-0.04,-30.95,-4.8,-1.38,7.28,6.11,5.08,4.91,2.73,2.2,7.51,10.74,5.83,-2.29,1.09,1.5,2.63,3.11,0.92,4.21,0.45,-2.44,
"Solvency %",209.65,266.82,260.13,270.69,279.52,387.02,405.37,425.83,418.37,381.9,381.9,356.46,385.09,385.09,409.84,405.51,405.51,408.3,415.85,415.85,418.98,406.24,406.24,406.24,406.24,403.44,424.81,424.81,564.7,443.24,443.24,443.02,473.79,473.79,458.31,435.04,435.04,404.93,364.6,411.44,393.4,378.81,568.01,430.79,459.41,391.68,507.47,
"Int Bearing Debt : Total Assets",0.17,0.15,0.16,0.15,0.14,0.06,0.05,0.04,0.06,0.09,0.09,,0.09,0.09,0.13,0.08,0.08,0.07,0.07,0.07,0.12,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,
"EV/Ebitda (Pd)",12.61,17.45,11.71,56.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liquidity%",22.16,38.33,33.13,35.35,27.47,35.35,39.66,40.55,50.99,36.96,43.75,27.84,23.02,21.38,15.97,-0.73,21.91,43.65,23.08,19.9,31.38,17.59,26.17,27.21,19.37,11.22,4.03,31.93,6.96,45.51,50.76,57.64,46.21,45.19,31.08,50.52,57.21,66.87,38.52,30.87,9.32,29.95,25.24,30.9,-40.16,22.07,16.62,
"Cash Flow : Attributable Profit",-5.38,4.1,-1.79,-278.95,-0.89,3.89,-8.06,5.54,4.76,-8.16,51.51,-5.61,-0.69,-0.44,-5.72,0.08,-1.5,-16.09,-1.57,-1.54,518.67,-9.98,-21.02,-21.85,-10.99,-21.63,-0.11,-1.15,-2.56,8.18,5.45,14.94,2.05,69.83,3.48,4.22,6.76,8.93,-49.85,3.86,2.32,5.25,7.02,66.63,-32.32,-8.24,-4.97,
"PEG Ratio",-4.41,-0.09,-0.13,-2.17,0.42,0.33,0.4,0.17,0.59,,,,,,,,,-0.01,0.03,0.03,,,,,,0.1,0.24,0.24,0.01,,,,,,,,,0.01,0.01,0.01,0.12,0.28,0.4,0.74,25.95,27.66,-0.31,

