"Cash & Cash Equivalent end of period",521145,275655,240112,253117,323947,353181,284115,312276,225593,290538,247096,256864,257159,356333,323252,311328,833181,860762,879101,885887,940177,,,,,,,,,,,,,,

Ratios,"Sep 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","28 May 2020","30 Jan 2020","31 Oct 2019","1 Aug 2019","14 May 2019","31 Jan 2019","1 Nov 2018","2 Aug 2018","10 May 2018","1 Feb 2018","2 Nov 2017","3 Aug 2017","25 May 2017","2 Feb 2017","3 Nov 2016","4 Aug 2016","26 May 2016","4 Feb 2016","5 Nov 2015","6 Aug 2015","28 May 2015","12 Feb 2015","6 Nov 2014","12 Feb 2015","5 Jun 2014","7 Nov 2013","10 Jun 2013","12 Nov 2012","11 Jun 2012","17 Nov 2011","13 Jun 2011","15 Nov 2010","7 Jun 2010",
"Return on Capital Employed",9.11,6.76,14.39,11.19,13.71,10.51,12.21,7.39,3.23,11.31,14.9,7.29,8.83,7.86,9.08,7.18,6.2,8.93,11.09,11.16,6.23,7.7,6.85,7.19,3.72,8.93,7.26,14.65,13.26,12.94,8.14,9.56,6.4,8.39,
"Return on Shareholder Funds",10.51,7.98,16.45,12.92,15.06,11.55,13.51,8.14,3.55,11.94,15.89,7.85,9.44,8.42,9.79,7.75,6.62,9.51,11.9,11.83,6.5,7.99,7.08,7.37,3.79,9.07,7.33,14.8,13.47,13.37,8.63,10.47,7.4,10.17,
"Return on Total Assets",14.13,18.37,18.89,22.68,22.75,23.7,25.4,22.4,21.11,19.63,19.89,16.56,15.72,14.47,17.16,13.36,12.5,18.9,26.56,22.22,12.38,15.91,14.48,13.76,7.29,16.51,13.56,35.47,33.08,33.74,22.49,30.46,21.22,23.53,
"Gross Profit Margin",66.95,62.97,63.92,65.59,65.71,66.81,65.66,67.37,66.93,65.72,65.28,66.23,66.94,67.61,66.61,68.1,67.47,70.01,68.03,68.78,70.29,67.64,65.62,67.39,66.28,66.81,65.6,63.76,62.62,61.62,61.02,61.63,60.71,59.83,
"Operating Profit Margin",12.53,14.46,14.59,16.36,15.68,17.15,16.85,16.2,14.83,12.55,11.99,10.79,10.58,8.95,11.92,6.57,6.03,9.49,8.89,8.51,9.46,10.79,8.82,8.9,7.06,13.49,11.73,15.87,13.53,14.37,10.12,13.22,10.18,13.07,
"Net Profit Margin",9.63,6.74,13.25,10.49,12.78,10.24,11,7.21,3.16,10.58,13.29,7.11,8.34,7.89,8.74,7.38,8.42,12.49,15.3,15.82,9.08,10.77,9.1,9.73,5.04,11.92,9.23,10.97,9.47,10.14,6.44,8.06,5.42,7.86,
"Debt:Equity (excl non-int debt)",0.18,0.2,0.17,0.18,0.11,0.12,0.13,0.12,0.12,0.07,0.08,0.1,0.09,0.08,0.1,0.1,0.07,0.07,0.09,0.09,0.05,0.05,0.05,0.06,0.05,0.03,0.05,0.33,0.13,0.38,0.51,0.46,0.2,0.61,
"Interest Bearing Debt as % of Long-Term Finance",,,,,,,,,,,,,,,,,,,,0.02,0.04,0.06,0.08,0.1,,0.15,,,,,2.2,5.02,8.15,12.88,
"Interest Cover",13.21,22.01,15.71,198.86,-76.46,-244.53,353.76,-245.91,-436.93,3115.25,78.43,1049.63,12.31,-13.27,10.72,-2.58,-0.91,-0.93,-0.48,-0.56,-2.51,-1.86,-1.56,-1.6,-17.12,-4.22,-7.89,30.92,84.55,50.95,18.93,10.25,6.46,6.73,
"Quick Ratio",1.91,1.81,1.46,1.52,1.79,1.76,1.61,1.67,1.65,1.69,1.6,1.65,1.75,1.87,1.98,2,3.65,3.6,4,3.67,4.69,4.26,3.76,3.9,3.96,3.89,3.34,1.27,1.04,1.08,0.83,0.78,0.84,1.09,
"Current Ratio",2.03,1.93,1.58,1.63,1.9,1.87,1.76,1.81,1.81,1.84,1.74,1.8,1.86,1.94,2.11,2.14,3.86,3.79,4.21,3.83,4.87,4.39,3.93,4.05,4.13,4.03,3.51,1.41,1.33,1.21,1.07,1.04,1.09,1.3,
"Dividend Cover",2.25,1.63,3.25,2.5,3,2.77,3.33,4,1,3.05,4,4,2.4,2.38,3,4,2,3,4,7,2,2.38,,,,,,2,2.03,1.96,,1.82,,2.02,
"Dividend Cover (HEPS)",2.25,1.69,,2.5,,2.77,,4,,3.05,,4,,2.5,,4,,3,,7,,2.38,,,,,,2,2.08,1.99,,1.88,,2.02,
"Debtors Collection Period",72.27,88.84,81.07,76.31,75.87,69.55,64.05,67.32,75.82,61.04,59.93,67.02,66.39,61.76,58.84,67.8,72.48,73.01,76.8,72.9,72.33,68.72,68.08,70.83,72.08,67.41,64,58.26,66.86,58.46,54.97,47.24,49.71,55.12,
"Stock Turn",10.59,13.59,11.92,12.89,13.59,12.79,10.68,9.41,8.94,10.3,11.3,10.27,13.15,18.86,12.04,10.38,7.14,6.81,7.62,8.36,8.44,11.55,9.29,9.46,8.69,10.61,8.12,10.91,5.03,10.89,4.8,5.44,5.1,6.19,
"Price : Earnings",24.12,22.52,18.46,19.25,21.49,26.5,35.42,23.76,36.3,23.09,29.95,24.36,19.1,17,24.93,19.5,12.18,9.83,9.66,12,20.82,17.32,17.68,21.2,24.73,21.9,29.55,18.41,11.78,10.99,12.02,10.88,14.55,10.89,
"Sales Per Share (Base Currency)",372.34,388.69,390.17,379.64,371.3,350.59,366.17,337.39,323.72,305.21,315.64,291.37,288.44,244.6,285.24,214.81,199.5,189,198.5,177.64,173.72,176.02,177.62,170.44,162.72,173.68,178.11,177.91,171.72,155.01,142.76,134.95,132.6,127.93,
"Price/Sales Per Share",1.62,1.56,1.85,2.23,2.26,2.72,2.32,2.39,3.03,2.42,2.09,1.84,1.39,1.39,1.22,1.63,1.34,1.25,1.41,1.69,2.19,1.87,1.72,2.59,2.7,2.65,3.3,2.08,1.34,1.13,1.04,0.91,1.11,0.86,
"Price/Net Asset Value",1.78,1.83,2.29,2.71,2.66,3.06,2.85,2.72,3.4,2.75,2.5,2.02,1.56,1.33,1.37,1.39,1.06,0.93,1.09,1.22,1.57,1.4,1.34,1.98,2.04,2.16,2.94,2.81,1.91,1.49,1.4,1.18,1.52,1.11,
"Price/Cash Flow",17.55,7.34,133.31,40.76,207.34,11.56,143.65,45.7,972.55,11.81,135.32,49.04,489.02,5.92,80.83,40.6,291.3,7.45,317.28,42.95,342.34,11.99,159.48,103.64,2251.28,17.7,128.1,11.52,58.25,7.51,35.14,5.6,34.63,5.88,
"NAV%Price",56.22,54.61,43.67,36.95,37.57,32.7,35.08,36.76,29.4,36.4,39.94,49.44,64.2,75.29,72.97,72.08,94.4,107.2,92.16,81.67,63.55,71.43,74.57,50.59,49.08,46.3,33.97,35.54,52.38,67.15,71.53,84.51,66,89.92,
"Liquidity%",92.28,55.25,59.65,58.84,56.44,72.51,84.84,64.16,15.59,74.18,92.31,49.76,16.06,69.77,88.03,43.9,24.82,52.44,23.43,47.49,40.34,59.79,64.76,38.22,7.92,66.71,45.14,74.38,33.99,51.66,31.45,46.36,30.36,30.86,
"Cash Flow:Attributable Profit",7.71,3.13,6.68,4.11,5.45,2.29,9.4,5.86,6.31,1.95,7.45,4.21,2.17,2.66,11.1,3.53,3.52,1.31,1.84,1.92,4.51,1.45,7.58,2.06,1.52,1.34,2.51,1.65,1.95,1.48,3.69,2.02,4.73,1.86,
"Cash/Equity (%)",31.51,18.39,18.22,18.22,21.19,23.04,20.27,22.47,17.12,21.7,,,21.15,26.96,,,,,,,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",,4.33,46.05,24.35,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEG Ratio",2.11,1.97,,1.33,1.48,1.82,,1.82,2.79,1.77,4.88,3.97,3.11,2.77,1.41,1.1,0.69,0.56,0.65,0.81,1.41,1.17,1.35,1.62,1.89,1.67,1.69,1.05,0.51,0.47,0.64,0.58,0.69,0.52,

