"Earnings Per Share (Base Currency)",,-3,-12,,-3,-1,1,-24,-4,-4,-8,-4,-2,-55,-29,-24,-21,-3,-5,-20,-135,-40,-20,-20,-169,,-150,-160,-10,-110,-10,-100,-90,-10,-80,,-10,-10,-10,20,10,10,10,,
"Diluted Earnings Per Share (Base Currency)",,-3,-12,,-3,-1,1,-24,-4,-4,-8,-4,-2,-55,-29,-24,-21,-3,-5,-20,-135,-40,-20,-20,-169,,-150,-160,-10,-110,-10,-100,-90,-10,-80,,-10,-10,-10,20,1,,1,,
"Headline Earnings Per Share (Cont) (Base Currency)",,-3,-12,-3,-3,-1,1,-9,-5,-4,-8,-4,-2,-27,-7,-5,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",,-3,-12,-3,-3,-1,1,-9,-5,-4,-8,-4,-2,-27,-7,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Asset Value Per Share (Base Currency)",105.81,110.07,110.28,149.29,134.2,147.59,147.59,145.05,171.2,171.2,194.41,187.83,187.83,183.78,200.68,200.68,217.21,285.48,285.48,288.09,307.21,471.77,471.77,473.8,480.5,502,512.2,512.2,707.4,765.3,783.9,792.6,792.6,928.1,918.6,986.5,1131.7,1131.7,1139.2,1513.4,969.3,891,892,927.7,
"Price at Period End (Base Currency)",27,16,16,21,21,4,4,11,22,22,26,23,23,48,88,88,51,135,135,122,123,85,85,76,67,65,74,74,144,174,177,198,198,402,560,709,825,825,1392,1777,1422,912,912,1472,
"JSE Market Price at Period End (ZARc)",449,270,270,300,320,63,63,160,300,300,325,301,301,649,1300,1300,800,1650,1650,1482,1420,900,900,800,700,660,740,740,1330,1470,1460,1660,1660,3100,4570,5650,5600,5600,9480,11760,9900,7000,7000,10700,
"JSE Market Price High (ZARc)",550,400,430,1048,325,1048,200,416,416,350,649,649,500,1365,1340,1340,2295,2295,2295,1640,1788,1080,1080,1010,2990,900,1450,2990,2990,4990,1950,4990,3340,4990,13500,7400,13500,10000,13500,13310,10250,12280,12280,11340,
"JSE Market Price Low (ZARc)",270,160,127,52,63,52,63,103,250,250,200,301,301,455,476,760,360,1400,813,813,210,630,630,700,540,600,660,660,1300,1120,1450,1200,1200,3020,4200,4750,5500,5500,9000,6300,6300,6510,6510,6600,
"JSE Volume Traded (Actual)",99963,44752,159246,208499,29538,93826,12957,199176,118534,47993,276998,140116,59427,538027,451726,294885,1208666,292098,779869,494264,3217652,1028943,475444,551191,3063094,613918,904510,1911659,1002558,2547758,362214,1513775,844076,669699,2129497,529863,1023254,763883,264457,2111836,406512,592608,1298613,706005,
"JSE Value Traded (Actual)",412502,101789,402560,613093,67107,273423,22295,553476,385854,150710,941632,560881,189838,5202603,4495374,3254354,16204782,5140198,12196073,7150695,35959274,8752174,3990257,4746128,35078500,4457348,8176762,27330581,19086638,62281956,6156160,46953907,19714605,27239302,146018241,31229001,85758808,55590724,30639051,201019713,33392581,53656928,122703105,69046177,
"12 Month HEPS",-111.15,-86.39,-399.84,-43.35,-88.05,-71.95,-75.23,-119.25,-115.06,-130.32,-106.4,-105.68,-580.38,-809.05,-316.26,-275.95,-267.94,-1101.6,-1101.6,-1331.13,-1462.05,-588.36,-402.08,-1243.59,-1638.8,-2117.2,-683,-1912.9,-687.02,-904.2,-1451.46,-661.7,-1374.5,-496.07,-651.2,59.67,4.35,-7.19,102.23,146.1,234,68.6,68.6,63.3,

Cash flow items,"Sep 2020","Jun 2020","Jun 2020","Dec 2019","Sep 2019","Jun 2019","Jun 2019","Dec 2018","Jun 2018","Jun 2018","Dec 2017","Jun 2017","Jun 2017","Dec 2016","Jun 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Qtrly (3m)","Qtrly (3m)","Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"13 Nov 2020","7 Aug 2020","7 Aug 2020","27 Mar 2020","8 Nov 2019","14 Aug 2019","14 Aug 2019","27 Mar 2019","15 Aug 2018","15 Aug 2018","28 Mar 2018","14 Aug 2017","14 Aug 2017","15 Jun 2017","16 Aug 2016","16 Aug 2016","31 Mar 2016","5 Oct 2015","5 Oct 2015","5 Oct 2015","8 Apr 2015","17 Nov 2014","17 Nov 2014","15 May 2014","14 Mar 2014","15 Nov 2013","15 Aug 2013","15 Aug 2013","15 May 2013","14 Mar 2013","14 Nov 2012","14 Aug 2012","14 Aug 2012","14 May 2012","6 Mar 2012","14 Nov 2011","15 Aug 2011","15 Aug 2011","12 May 2011","24 Mar 2011","15 Nov 2010","11 Aug 2010","11 Aug 2010","12 May 2010",
"Cash generated by operations",,,,,,,,,,,,,,,,-2150,,-2685,-5771,,,,,,,,,,,,,,,,,,,,,,,,,,
"Working capital changes",,,2547,,,-7673,,,3791,,,23,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cash generated from operations after WC",,,3068,-9415,,-8299,,-3899,207,,-8506,-4245,,-11638,-5806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Cash flow from operating activities",,,3305,-8843,,-7953,,-2844,797,,-7776,3907,,-12455,-6874,-1981,10399,-2566,-5159,-2593,-10494,-5599,-2921,-2678,-21960,-9667,-4576,-9686,-5110,-20864,-13021,-15354,-7911,-7443,1413,-9659,7597,1638,5959,31974,9372,10039,9704,-335,
"Net cash flow from investing activities",,,-402,3551,,2697,,-4387,2068,,10282,3619,,23375,25224,5278,7233,9866,26092,16226,11263,-6331,-1464,-4867,-30262,-21571,-14588,-9749,4839,-51373,22816,-68834,-11410,-57424,46024,-13188,-40006,-19921,-20085,-257238,-8566,-6688,-10291,-3603,
"Net cash flow from financing activities",,,1077,2765,,2765,,3556,1189,,,,,-13367,,,,,,,-187,,,,,,,,,-11554,,-11553,127,-11680,-1205,,-648,-648,,327152,15,-287,-246,41,
"Net increase(decrease) in cash & cash equivalents",,,2714,-2256,,-2331,,-4179,3527,,2502,-319,,-2393,18545,3208,-5683,7333,19558,,-523,,,,,,,,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent beginning of period",,,1957,4213,,4213,,8392,8392,,5890,5890,,8283,8283,23620,13966,26191,13966,,14489,,,,,,,,,,,,,,,,,,,,,,,,
"Translation effects on cash & cash equivalents",,,-1266,271,,160,,-504,-527,,-4,31,,54,195,-89,-2517,33,-1375,,-1105,,,,,,,,,,,,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",,,4671,1957,,1882,,4213,11919,,8392,5571,,5890,26828,26828,8283,33524,33524,,13966,,,,,,,,,,,,,,,,,,,,,,,,

Ratios,"Sep 2020","Jun 2020","Jun 2020","Dec 2019","Sep 2019","Jun 2019","Jun 2019","Dec 2018","Jun 2018","Jun 2018","Dec 2017","Jun 2017","Jun 2017","Dec 2016","Jun 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Qtrly (3m)","Qtrly (3m)","Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"13 Nov 2020","7 Aug 2020","7 Aug 2020","27 Mar 2020","8 Nov 2019","14 Aug 2019","14 Aug 2019","27 Mar 2019","15 Aug 2018","15 Aug 2018","28 Mar 2018","14 Aug 2017","14 Aug 2017","15 Jun 2017","16 Aug 2016","16 Aug 2016","31 Mar 2016","5 Oct 2015","5 Oct 2015","5 Oct 2015","8 Apr 2015","17 Nov 2014","17 Nov 2014","15 May 2014","14 Mar 2014","15 Nov 2013","15 Aug 2013","15 Aug 2013","15 May 2013","14 Mar 2013","14 Nov 2012","14 Aug 2012","14 Aug 2012","14 May 2012","6 Mar 2012","14 Nov 2011","15 Aug 2011","15 Aug 2011","12 May 2011","24 Mar 2011","15 Nov 2010","11 Aug 2010","11 Aug 2010","12 May 2010",
"Working Revenue Per Share",66.99,40.01,50.61,42.38,48.86,34.2,45.3,0.45,,,,,,,,,,,,,,,,,34.26,5.78,71.4,64.46,,110.44,100.61,133.28,134.35,105.17,124.65,138.53,137.82,118.37,157.27,226.88,222.96,214.48,209.12,203.75,
"Price/Sales Per Share",0.4,0.39,0.31,0.51,0.43,0.13,0.1,24.83,,,,,,,,,,,,,,,,,1.96,11.28,1.04,1.16,,1.57,1.76,1.48,1.47,3.82,4.49,5.12,5.98,6.97,8.85,7.83,6.38,4.25,4.36,7.22,
"Price/Net Asset Value",0.25,0.14,0.14,0.14,0.16,0.03,0.03,0.08,0.13,0.13,0.14,0.12,0.12,0.26,0.44,0.44,0.24,0.47,0.47,0.42,0.4,0.18,0.18,0.16,0.14,0.13,0.15,0.15,0.2,0.23,0.23,0.25,0.25,0.43,0.61,0.72,0.73,0.73,1.22,1.17,1.47,1.02,1.02,1.59,
"Price/Cash Flow",,,8.73,-2.24,,-1.04,,-3.62,50.72,,-3.13,10.96,,-3.55,-23.84,-165.31,4.58,-195.28,-48.56,-174.35,-10.87,-28.23,-108.07,-104.65,-2.84,-25.05,-60.43,-14.27,-104.33,-7.72,-50.51,-23.88,-92.67,-200.43,359.04,-266.58,197.04,1832.52,848.82,37.97,414.55,248.11,128.19,-11972.85,
"Return on Capital Employed",0.32,-10.27,-20.49,-0.75,-9.28,-1.16,1.01,-18.07,-6.74,-10.56,-6.33,-6.53,-6.1,-38.49,-37.92,-63.47,-12.94,-5.29,-4.46,-3.6,-50.39,-3.11,-3.03,-3.17,-41.01,-7.28,-133.87,-72.45,-7.81,-15.68,-4.08,-27.23,-47.49,-5.83,-9.97,-0.23,-3.36,-4.01,-2.69,0.89,1.76,1.51,0.63,-0.25,
"Return on Shareholder Funds",0.7,-20.05,-40,-1.23,-16.69,-1.88,1.64,-28.54,-9.21,-14.42,-6.79,-7.12,-6.66,-41.77,-40.42,-67.66,-13.62,-5.6,-4.73,-3.8,-53.21,-3.31,-3.23,-3.37,-43.6,-7.75,-142.37,-77.05,-8.18,-16.41,-4.25,-28.32,-49.4,-6.15,-10.47,-0.24,-3.54,-4.22,-2.83,0.94,1.9,1.64,0.68,-0.27,
"Return on Total Assets",1.02,-6.3,-6.48,-2.98,2.61,-3.46,-2.59,-16.74,-5.67,-5.39,-6.98,-7.13,-6.63,-39.1,-36.64,-63.94,-16.05,-5.6,-5.46,-4.16,-54.37,-3.42,-3.39,-3.04,-40.42,-5.9,-128.15,-66.62,-6.59,-17.29,-4,-27.63,-52.19,-4.5,-9.22,-1.7,-3.68,-4.12,-3.21,0.8,1.71,1.17,0.22,-0.7,
"Operating Profit Margin",9.79,-10.95,-9.41,-6.08,17.54,-14.15,-3.89,-6217.63,,,,,,,,,,,,,,,,,-571.32,-519.46,-953.81,-550.19,,-123.44,-35,-169.87,-315.41,-46.16,-78.06,-16.4,-36.02,-46.57,-28.08,5.82,8.24,5.95,1.3,-3.61,
"Net Profit Margin",1.02,-32.36,-47.68,0.26,-24.37,-1.52,5.7,-5270.53,,,,,,,,,,,,,,,,,-493.51,-486.13,-843.61,-503.88,,-101.24,-24.42,-155.4,-277.42,-36.53,-67.62,4.34,-21.71,-29.58,-15.78,8.61,10.61,9.42,5.99,2.37,
"Debt:Equity",1.15,0.9,0.9,0.6,0.76,0.59,0.59,0.55,0.34,0.34,0.05,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,
"Interest Cover",1.11,-1.81,-4.81,0.64,-2.41,-0.53,1.73,49.16,18.42,22.75,48.34,24.44,20.84,408.14,310.41,481.26,60.15,59.18,22.99,12.32,109.75,10.75,10.75,10.74,223.93,-92.12,710.82,340.43,47.53,-56.83,15.67,-35.28,-25.8,14.92,22.84,1.94,10.19,11.7,8.57,886.3,-54.96,12.46,6.81,493,
"Current Ratio",1.3,1.57,1.57,1.61,1.64,1.94,1.94,1.55,7.82,7.82,17.97,15.03,15.03,18.35,43.99,43.99,16.41,16.7,16.7,16.85,15.98,17.56,17.56,15.6,16.32,11.44,6.47,6.47,7.92,8.66,7.3,6.73,6.73,7.4,6.7,13.31,12.27,12.27,12.18,13,2.49,2.63,2.63,2.58,
"NAV%Price",398.73,706.49,707.83,699.17,635.77,3300.86,3300.86,1308.17,784.67,784.67,739.95,814.35,814.35,387.67,231.6,231.6,421.64,212.47,212.47,235.6,250.96,554.21,555.12,623.64,720.76,759.85,684.55,684.55,483.48,441.87,446.71,394.87,394.87,229.87,163.62,123.9,138.84,138.33,82.26,94.06,9.79,12.73,12.74,64.09,
"Price : Earnings",-4.04,-3.13,-0.68,-6.92,-3.63,-0.88,-0.84,-1.34,-2.61,-2.3,-3.05,-2.85,-0.52,-0.8,-4.11,-4.71,-2.99,-1.5,-1.5,-1.11,-0.97,-1.53,-2.24,-0.64,-0.43,-0.31,-1.08,-0.39,-1.94,-1.63,-1.01,-2.51,-1.21,-6.25,-7.02,94.69,1287.36,-778.86,92.73,80.49,42.31,102.04,102.04,169.04,
"Profitability %",-2.27,-2.99,-3.24,-1.45,-2.25,-2.84,-1.03,-17.1,-6.04,-5.82,-7.11,-7.4,-6.93,-39.19,-36.76,-64.07,-16.27,-5.69,-5.66,-4.47,-54.86,-3.72,-3.69,-3.35,-40.6,-5.9,-128.33,-66.83,-6.75,-17,-4.26,-26.82,-50.2,-4.82,-9.66,-2.14,-4.05,-4.5,-3.56,0.8,1.68,1.27,0.27,-0.7,
"Solvency %",151.82,190.24,190.24,231.05,197.49,243.41,243.41,257.23,356.98,356.98,1305.75,1048.97,1048.97,1131.05,1450.14,1450.14,1450.51,1392.26,1392.26,1412.4,1412.66,1367.75,1367.75,1358.5,1384.54,1256.25,1048.97,1048.97,1462.76,1504.93,1454.6,1326.76,1326.76,1143.2,1088.49,1425.57,1338.87,1338.87,1306.44,1313.55,946.44,963.17,963.17,948.35,
"EV/Ebitda (Pd)",164.1,-215.54,-30.37,38.19,-410.76,8.89,6.1,-4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liquidity%",,,9.23,-12.39,,-24.55,,-4.86,3.48,,-69.1,55.77,,-97.3,-123.08,-70.94,81.93,-57.72,-58.02,-58.51,-55.25,-35.12,-36.65,-33.11,-67.98,-102.83,-39,-41.27,-43.58,-42.21,-98.86,-52.03,-53.62,-36.42,1.68,-57.14,18.27,7.88,27.66,37.27,47.4,56.27,27.2,-1.77,
"Cash Flow : Attributable Profit",,,-2.38,2.27,,7.15,,0.14,-0.45,,0.89,-1.79,,0.24,0.53,0.35,-0.41,3.57,1.8,4.75,0.08,2.31,4.84,5.3,0.14,5.42,0.13,0.14,2.23,0.2,8.87,0.34,0.38,3.25,-0.02,22.15,-1,-0.81,-3.31,2.37,10.73,11.53,4.8,-2.41,
"PEG Ratio",-1.11,-0.86,-0.19,-1.91,0.52,0.12,0.12,0.19,0.13,0.11,0.15,0.06,0.01,0.02,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.01,,,,,,0.03,,,,0.01,0.01,-0.14,-1.85,1.12,-0.13,-0.12,-0.63,-1.51,-1.51,-2.5,

